Prediction_Method,Brier_Score
nfl_elo_point,0.24104906149420904
nfl_elo_win,0.251039662380647
nfl_keener,0.24111044066952303
nfl_massey,0.23943318768813399
nfl_od,0.25721333676347696
nhl_elo_point,0.2670116126673768
nhl_elo_win,0.2695812308277434
nhl_keener,0.2648929616561496
nhl_massey,0.26294296248273824
nhl_od,0.2698487366466194
mlb_elo_point,0.27479144244611525
mlb_elo_win,0.2749129789363418
mlb_keener,0.2743911985601534
mlb_massey,0.2697777430249126
mlb_od,0.2752549047848057
nba_elo_point,0.23202434163464572
nba_elo_win,0.23474673490723455
nba_keener,0.23038541013413655
nba_massey,0.22880492280031786
nba_od,0.22895503777177098
