Date,HomeTeam,AwayTeam,FTHG,FTAG
01/10/2023,PIT,MIA,3,0
30/09/2023,PIT,MIA,3,7
29/09/2023,PIT,MIA,3,4
28/09/2023,PHI,PIT,2,3
27/09/2023,PHI,PIT,7,6
26/09/2023,PHI,PIT,3,2
24/09/2023,CIN,PIT,4,2
23/09/2023,CIN,PIT,12,13
22/09/2023,CIN,PIT,5,7
21/09/2023,CHC,PIT,6,8
20/09/2023,CHC,PIT,7,13
19/09/2023,CHC,PIT,14,1
17/09/2023,PIT,NYY,3,2
16/09/2023,PIT,NYY,3,6
15/09/2023,PIT,NYY,5,7
14/09/2023,PIT,WSH,2,0
13/09/2023,PIT,WSH,7,6
12/09/2023,PIT,WSH,5,1
11/09/2023,PIT,WSH,2,6
10/09/2023,ATL,PIT,5,2
09/09/2023,ATL,PIT,4,8
08/09/2023,ATL,PIT,8,2
06/09/2023,PIT,MIL,5,4
05/09/2023,PIT,MIL,3,7
04/09/2023,PIT,MIL,4,2
03/09/2023,STL,PIT,6,4
02/09/2023,STL,PIT,6,7
01/09/2023,STL,PIT,2,4
30/08/2023,KC,PIT,1,4
29/08/2023,KC,PIT,3,6
28/08/2023,KC,PIT,0,5
27/08/2023,PIT,CHC,1,10
26/08/2023,PIT,CHC,6,10
25/08/2023,PIT,CHC,2,1
24/08/2023,PIT,CHC,4,5
23/08/2023,PIT,STL,4,6
22/08/2023,PIT,STL,6,3
21/08/2023,PIT,STL,11,1
20/08/2023,MIN,PIT,2,0
19/08/2023,MIN,PIT,4,7
18/08/2023,MIN,PIT,5,1
16/08/2023,NYM,PIT,8,3
15/08/2023,NYM,PIT,4,7
14/08/2023,NYM,PIT,7,2
13/08/2023,PIT,CIN,5,6
13/08/2023,PIT,CIN,4,2
11/08/2023,PIT,CIN,2,9
10/08/2023,PIT,ATL,7,5
09/08/2023,PIT,ATL,5,6
08/08/2023,PIT,ATL,6,8
07/08/2023,PIT,ATL,7,6
06/08/2023,MIL,PIT,1,4
05/08/2023,MIL,PIT,3,2
04/08/2023,MIL,PIT,4,8
03/08/2023,MIL,PIT,14,1
02/08/2023,PIT,DET,3,6
01/08/2023,PIT,DET,4,1
30/07/2023,PIT,PHI,6,4
29/07/2023,PIT,PHI,7,6
28/07/2023,PIT,PHI,1,2
26/07/2023,SD,PIT,2,3
25/07/2023,SD,PIT,5,1
24/07/2023,SD,PIT,4,8
23/07/2023,LAA,PIT,7,5
22/07/2023,LAA,PIT,0,3
21/07/2023,LAA,PIT,8,5
19/07/2023,PIT,CLE,7,5
18/07/2023,PIT,CLE,1,10
17/07/2023,PIT,CLE,0,11
16/07/2023,PIT,SF,4,8
15/07/2023,PIT,SF,1,3
14/07/2023,PIT,SF,4,6
09/07/2023,ARI,PIT,2,4
08/07/2023,ARI,PIT,3,2
07/07/2023,ARI,PIT,7,3
06/07/2023,LAD,PIT,5,2
05/07/2023,LAD,PIT,6,4
04/07/2023,LAD,PIT,7,9
03/07/2023,LAD,PIT,5,2
02/07/2023,PIT,MIL,3,6
01/07/2023,PIT,MIL,8,11
30/06/2023,PIT,MIL,8,7
29/06/2023,PIT,SD,5,4
28/06/2023,PIT,SD,7,1
27/06/2023,PIT,SD,9,4
25/06/2023,MIA,PIT,2,0
24/06/2023,MIA,PIT,4,3
23/06/2023,MIA,PIT,1,3
22/06/2023,MIA,PIT,6,4
21/06/2023,PIT,CHC,3,8
20/06/2023,PIT,CHC,0,4
19/06/2023,PIT,CHC,0,8
18/06/2023,MIL,PIT,5,2
17/06/2023,MIL,PIT,5,0
16/06/2023,MIL,PIT,5,4
15/06/2023,CHC,PIT,7,2
14/06/2023,CHC,PIT,10,6
13/06/2023,CHC,PIT,11,3
11/06/2023,PIT,NYM,2,1
10/06/2023,PIT,NYM,1,5
09/06/2023,PIT,NYM,14,7
07/06/2023,PIT,OAK,5,9
06/06/2023,PIT,OAK,2,11
05/06/2023,PIT,OAK,5,4
04/06/2023,PIT,STL,2,1
03/06/2023,PIT,STL,4,3
02/06/2023,PIT,STL,7,5
31/05/2023,SF,PIT,4,9
30/05/2023,SF,PIT,1,2
29/05/2023,SF,PIT,14,4
28/05/2023,SEA,PIT,6,3
27/05/2023,SEA,PIT,5,0
26/05/2023,SEA,PIT,6,11
24/05/2023,PIT,TEX,2,3
23/05/2023,PIT,TEX,1,6
22/05/2023,PIT,TEX,6,4
21/05/2023,PIT,ARI,3,8
