Date,HomeTeam,AwayTeam,FTHG,FTAG
28/09/2014,PIT,TB,24,27
21/09/2014,CAR,PIT,19,37
11/09/2014,BAL,PIT,26,6
07/09/2014,PIT,CLE,30,27
29/12/2013,PIT,CLE,20,7
22/12/2013,GB,PIT,31,38
15/12/2013,PIT,CIN,30,20
08/12/2013,PIT,MIA,28,34
28/11/2013,BAL,PIT,22,20
24/11/2013,CLE,PIT,11,27
17/11/2013,PIT,DET,37,27
10/11/2013,PIT,BUF,23,10
03/11/2013,NE,PIT,55,31
27/10/2013,LV,PIT,21,18
20/10/2013,PIT,BAL,19,16
13/10/2013,NYJ,PIT,6,19
29/09/2013,MIN,PIT,34,27
22/09/2013,PIT,CHI,23,40
16/09/2013,CIN,PIT,20,10
08/09/2013,PIT,TEN,9,16
30/12/2012,PIT,CLE,24,10
23/12/2012,PIT,CIN,10,13
16/12/2012,DAL,PIT,27,24
09/12/2012,PIT,LAC,24,34
02/12/2012,BAL,PIT,20,23
25/11/2012,CLE,PIT,20,14
18/11/2012,PIT,BAL,10,13
12/11/2012,PIT,KC,16,13
04/11/2012,NYG,PIT,20,24
28/10/2012,PIT,WSH,27,12
21/10/2012,CIN,PIT,17,24
11/10/2012,TEN,PIT,26,23
07/10/2012,PIT,PHI,16,14
23/09/2012,LV,PIT,34,31
16/09/2012,PIT,NYJ,27,10
09/09/2012,DEN,PIT,31,19
08/01/2012,DEN,PIT,29,23
01/01/2012,CLE,PIT,9,13
24/12/2011,PIT,LAR,27,0
19/12/2011,SF,PIT,20,3
08/12/2011,PIT,CLE,14,3
04/12/2011,PIT,CIN,35,7
27/11/2011,KC,PIT,9,13
13/11/2011,CIN,PIT,17,24
06/11/2011,PIT,BAL,20,23
30/10/2011,PIT,NE,25,17
23/10/2011,ARI,PIT,20,32
16/10/2011,PIT,JAX,17,13
09/10/2011,PIT,TEN,38,17
02/10/2011,HOU,PIT,17,10
25/09/2011,IND,PIT,20,23
18/09/2011,PIT,SEA,24,0
11/09/2011,BAL,PIT,35,7
06/02/2011,GB,PIT,31,25
23/01/2011,PIT,NYJ,24,19
15/01/2011,PIT,BAL,31,24
02/01/2011,CLE,PIT,9,41
23/12/2010,PIT,CAR,27,3
19/12/2010,PIT,NYJ,17,22
12/12/2010,PIT,CIN,23,7
05/12/2010,BAL,PIT,10,13
28/11/2010,BUF,PIT,16,19
21/11/2010,PIT,LV,35,3
14/11/2010,PIT,NE,26,39
08/11/2010,CIN,PIT,21,27
24/10/2010,MIA,PIT,22,23
17/10/2010,PIT,CLE,28,10
03/10/2010,PIT,BAL,14,17
26/09/2010,TB,PIT,13,38
19/09/2010,TEN,PIT,11,19
12/09/2010,PIT,ATL,15,9
03/01/2010,MIA,PIT,24,30
27/12/2009,PIT,BAL,23,20
20/12/2009,PIT,GB,37,36
10/12/2009,CLE,PIT,13,6
06/12/2009,PIT,LV,24,27
29/11/2009,BAL,PIT,20,17
15/11/2009,PIT,CIN,12,18
09/11/2009,DEN,PIT,10,28
25/10/2009,PIT,MIN,27,17
18/10/2009,PIT,CLE,27,14
11/10/2009,DET,PIT,20,28
04/10/2009,PIT,LAC,38,28
27/09/2009,CIN,PIT,23,20
20/09/2009,CHI,PIT,17,14
10/09/2009,PIT,TEN,13,10
01/02/2009,PIT,ARI,27,23
18/01/2009,PIT,BAL,23,14
11/01/2009,PIT,LAC,35,24
28/12/2008,PIT,CLE,31,0
21/12/2008,TEN,PIT,31,14
14/12/2008,BAL,PIT,9,13
07/12/2008,PIT,DAL,20,13
30/11/2008,NE,PIT,10,33
20/11/2008,PIT,CIN,27,10
16/11/2008,PIT,LAC,11,10
03/11/2008,WSH,PIT,6,23
26/10/2008,PIT,NYG,14,21
19/10/2008,CIN,PIT,10,38
05/10/2008,JAX,PIT,21,26
07/01/2024,GB,CHI,17,9
31/12/2023,CHI,ATL,37,17
24/12/2023,CHI,ARI,27,16
17/12/2023,CLE,CHI,20,17
10/12/2023,CHI,DET,28,13
27/11/2023,MIN,CHI,10,12
19/11/2023,DET,CHI,31,26
09/11/2023,CHI,CAR,16,13
05/11/2023,NO,CHI,24,17
29/10/2023,LAC,CHI,30,13
22/10/2023,CHI,LV,30,12
15/10/2023,CHI,MIN,13,19
05/10/2023,WSH,CHI,20,40
01/10/2023,CHI,DEN,28,31
24/09/2023,KC,CHI,41,10
17/09/2023,TB,CHI,27,17
10/09/2023,CHI,GB,20,38
08/01/2023,CHI,MIN,13,29
01/01/2023,DET,CHI,41,10
24/12/2022,CHI,BUF,13,35
18/12/2022,CHI,PHI,20,25
04/12/2022,CHI,GB,19,28
27/11/2022,NYJ,CHI,31,10
20/11/2022,ATL,CHI,27,24
13/11/2022,CHI,DET,30,31
06/11/2022,CHI,MIA,32,35
30/10/2022,DAL,CHI,49,29
24/10/2022,NE,CHI,14,33
13/10/2022,CHI,WSH,7,12
09/10/2022,MIN,CHI,29,22
02/10/2022,NYG,CHI,20,12
25/09/2022,CHI,HOU,23,20
18/09/2022,GB,CHI,27,10
11/09/2022,CHI,SF,19,10
09/01/2022,MIN,CHI,31,17
02/01/2022,CHI,NYG,29,3
26/12/2021,SEA,CHI,24,25
20/12/2021,CHI,MIN,9,17
12/12/2021,GB,CHI,45,30
05/12/2021,CHI,ARI,22,33
25/11/2021,DET,CHI,14,16
21/11/2021,CHI,BAL,13,16
31/10/2021,CHI,SF,22,33
24/10/2021,TB,CHI,38,3
17/10/2021,CHI,GB,14,24
10/10/2021,LV,CHI,9,20
03/10/2021,CHI,DET,24,14
26/09/2021,CLE,CHI,26,6
19/09/2021,CHI,CIN,20,17
12/09/2021,LAR,CHI,34,14
10/01/2021,NO,CHI,21,9
03/01/2021,CHI,GB,16,35
27/12/2020,JAX,CHI,17,41
20/12/2020,MIN,CHI,27,33
13/12/2020,CHI,HOU,36,7
06/12/2020,CHI,DET,30,34
29/11/2020,GB,CHI,41,25
16/11/2020,CHI,MIN,13,19
08/11/2020,TEN,CHI,24,17
01/11/2020,CHI,NO,23,26
26/10/2020,LAR,CHI,24,10
18/10/2020,CAR,CHI,16,23
08/10/2020,CHI,TB,20,19
04/10/2020,CHI,IND,11,19
