bin,n,favorite_roi,underdog_roi
0,54,-0.049373664537415984,0.28407407407407415
1,560,-0.04603887713834265,0.005642857142857061
2,1297,-0.00598291595798317,-0.14132613723978416
3,2203,-0.040137054754132206,-0.0374943259192011
4,2749,-0.028197230661736628,-0.04927973808657693
5,3285,-0.05084744170545341,-0.017546423135464284
6,3781,-0.03653148369203285,-0.045204972229568874
7,3302,-0.03548245091406399,-0.054688067837674104
8,2487,-0.03895570356109024,-0.06262967430639321
9,643,-0.033130477275986614,-0.14183514774494554
