season,bin,n,favorite_roi,underdog_roi
NHL_2014,4,305,0.06339603890807965,-0.13832786885245907
NHL_2014,5,594,-0.017959720545766222,-0.04989898989898989
NHL_2014,6,339,-0.06221991882906441,0.011858407079645916
NHL_2014,7,30,0.07317434006690737,-0.2643333333333333
NHL_2014,8,0,-2.0,-2.0
NHL_2014,9,0,-2.0,-2.0
NHL_2013,0,0,-2.0,-2.0
NHL_2013,1,0,-2.0,-2.0
NHL_2013,2,0,-2.0,-2.0
NHL_2013,3,14,0.11948193509187965,-0.265
NHL_2013,4,185,-0.028850347786926522,-0.03086486486486484
NHL_2013,5,432,0.04180137979133791,-0.13337962962962968
NHL_2013,6,166,0.05006039707564769,-0.18915662650602405
NHL_2013,7,9,0.048058011336855166,-0.28
NHL_2013,8,0,-2.0,-2.0
NHL_2013,9,0,-2.0,-2.0
NHL_2012,0,0,-2.0,-2.0
NHL_2012,1,0,-2.0,-2.0
NHL_2012,2,0,-2.0,-2.0
NHL_2012,3,29,-0.3553171682506142,0.5289655172413794
NHL_2012,4,346,-0.01651168664700986,-0.05731213872832375
NHL_2012,5,625,-0.04234842907535252,-0.031151999999999958
NHL_2012,6,299,-0.00897223230039057,-0.10344481605351175
NHL_2012,7,17,0.025265661565613273,-0.18823529411764706
NHL_2012,8,0,-2.0,-2.0
NHL_2012,9,0,-2.0,-2.0
NHL_2011,0,0,-2.0,-2.0
NHL_2011,1,0,-2.0,-2.0
NHL_2011,2,0,-2.0,-2.0
NHL_2011,3,26,-0.05902409293831801,0.006923076923077032
NHL_2011,4,268,0.030606891230383848,-0.12138059701492532
NHL_2011,5,646,-0.12035939995699108,0.055588235294117716
NHL_2011,6,358,-0.07724625472548485,0.028687150837988895
NHL_2011,7,17,0.1808842891592244,-0.591764705882353
NHL_2011,8,0,-2.0,-2.0
NHL_2011,9,0,-2.0,-2.0
NHL_2010,0,0,-2.0,-2.0
NHL_2010,1,0,-2.0,-2.0
NHL_2010,2,0,-2.0,-2.0
NHL_2010,3,42,-0.18314688083250863,0.2554761904761904
NHL_2010,4,258,-0.06587774676168678,0.0045348837209302495
NHL_2010,5,629,-0.06922183235070989,-0.0014308426073131875
NHL_2010,6,355,-0.00991473373145757,-0.09616901408450707
NHL_2010,7,34,-0.13421671667457669,0.23441176470588232
NHL_2010,8,0,-2.0,-2.0
NHL_2010,9,0,-2.0,-2.0
NHL_2009,0,0,-2.0,-2.0
NHL_2009,1,0,-2.0,-2.0
NHL_2009,2,3,0.37365629254095656,-1.0
NHL_2009,3,72,-0.03719136332783879,-0.0038888888888889417
NHL_2009,4,197,-0.038811566852673396,-0.013959390862944177
NHL_2009,5,467,-0.0022942048018501637,-0.05982869379014988
NHL_2009,6,312,-0.024764789510473784,-0.018044871794871797
NHL_2009,7,66,-0.03253813124804805,-0.012272727272727324
NHL_2009,8,0,-2.0,-2.0
NHL_2009,9,0,-2.0,-2.0
