date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
07-02-2024,MIA,SA,116,104,1,NBA_2023/2024,usa/nba-2023-2024/miami-heat-san-antonio-spurs-fgzyZpiA/,-337,265,-303,300
03-02-2024,SA,CLE,101,117,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-cleveland-cavaliers-2RBa4ZoJ/,376,-506,409,-455
02-02-2024,SA,NO,113,114,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-new-orleans-pelicans-pMZ8EJ9Q/,279,-356,312,-323
31-01-2024,SA,ORL,98,108,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-orlando-magic-nVZVua31/,200,-249,212,-227
29-01-2024,SA,WSH,113,118,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-washington-wizards-6wPBlWk4/,-162,136,-154,149
27-01-2024,SA,MIN,113,112,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-minnesota-timberwolves-UwJ8KiyO/,377,-526,434,-455
26-01-2024,SA,POR,116,100,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-portland-trail-blazers-80nDVHqP/,-198,163,-189,171
24-01-2024,SA,OKC,114,140,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-oklahoma-city-thunder-IiN3XIcF/,295,-378,320,-345
22-01-2024,PHI,SA,133,123,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-san-antonio-spurs-Mi2WcI6d/,-894,618,-769,700
20-01-2024,WSH,SA,127,131,0,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-san-antonio-spurs-CdyMispN/,-131,111,-127,114
19-01-2024,CHA,SA,124,120,1,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-san-antonio-spurs-jT7vu40H/,-189,156,-182,168
17-01-2024,BOS,SA,117,98,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-san-antonio-spurs-YTIjtguf/,-1183,733,-1111,800
15-01-2024,ATL,SA,109,99,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-san-antonio-spurs-MeEDUetr/,-336,270,-303,296
13-01-2024,SA,CHI,116,122,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-chicago-bulls-UcD3MblL/,205,-250,220,-227
12-01-2024,SA,CHA,135,99,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-charlotte-hornets-hGvd3Jsq/,-135,115,-122,127
10-01-2024,DET,SA,108,130,0,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-san-antonio-spurs-n3L6hDym/,130,-153,138,-145
07-01-2024,CLE,SA,117,115,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-san-antonio-spurs-tUxQqqgF/,-538,404,-476,430
04-01-2024,SA,MIL,121,125,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-milwaukee-bucks-WGl5JnuA/,431,-569,555,-526
02-01-2024,MEM,SA,106,98,1,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-san-antonio-spurs-v3523zkC/,-569,428,-500,475
31-12-2023,SA,BOS,101,134,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-boston-celtics-4WXGiwj0/,726,-1121,800,-909
29-12-2023,POR,SA,134,128,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-san-antonio-spurs-xdEZv06f/,-187,156,-172,170
28-12-2023,POR,SA,105,118,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-san-antonio-spurs-tUbeRtxe/,-156,134,-139,142
26-12-2023,SA,UTAH,118,130,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-utah-jazz-tYjrkPC4/,124,-145,131,-133
23-12-2023,DAL,SA,144,119,1,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-san-antonio-spurs-v58sK4DU/,-348,277,-294,300
21-12-2023,CHI,SA,114,95,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-san-antonio-spurs-6HgQflpJ/,-236,194,-208,202
19-12-2023,MIL,SA,132,119,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-san-antonio-spurs-hYa32unS/,-1429,865,-1250,1070
17-12-2023,SA,NO,110,146,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-new-orleans-pelicans-pjyMWMep/,249,-309,267,-278
15-12-2023,SA,LAL,129,115,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-los-angeles-lakers-WOSaRRJ4/,154,-183,167,-175
13-12-2023,SA,LAL,119,122,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-los-angeles-lakers-4jlxZILD/,138,-162,145,-145
11-12-2023,HOU,SA,93,82,1,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-san-antonio-spurs-tvpZMiBL/,-381,300,-345,333
08-12-2023,SA,CHI,112,121,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-chicago-bulls-GxnOTjPo/,112,-130,120,-120
06-12-2023,MIN,SA,102,94,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-san-antonio-spurs-EF6Xkyss/,-642,471,-588,575
