bin,n,favorite_roi,underdog_roi
0,639,-0.12853346429680212,0.26056338028169024
1,375,-0.1682401975451986,0.26703999999999994
2,309,-0.11719220715543166,0.21585760517799346
3,308,-0.20150878416084017,0.5007467532467533
4,291,-0.2256921005699607,0.653127147766323
5,385,-0.10209924391827896,0.12044155844155835
6,345,-0.10182124206741427,0.12678260869565228
7,313,-0.08374694565810659,0.011916932907348299
8,353,-0.02378269149308021,-0.07810198300283289
9,591,-0.09040214127150026,-0.04126903553299488
