league,n,favorite_roi,underdog_roi
mlb,38255,-0.07100102541561248,0.0650910992027185
nfl,3909,-0.12065713572904346,0.18406497825530832
nba,20018,-0.09801926130658412,0.1508837046658007
nhl,19868,-0.07066252672034179,0.06108868532313272
