bin,n,favorite_roi,underdog_roi
0,402,-0.0880268180074959,0.014845283571670809
1,456,0.021785748496566226,-0.09127977068036652
2,1637,-0.05307454677751011,-0.017115734584000508
3,5710,-0.0347830958290094,-0.024677786966249227
4,10786,-0.03205534672421029,-0.0365315732283632
5,11019,-0.020647360519093327,-0.05241279759724016
6,5743,-0.01796818123244759,-0.06686752189860223
7,1603,-0.06820714430335961,0.015918495580335756
8,446,-0.07732581944621786,0.021399271987977864
9,453,-0.12361850674790043,0.08449727943943008
