season,bin,n,favorite_roi,underdog_roi
NHL_2024,0,35,-0.1358130066725458,0.07264206993886368
NHL_2024,1,41,-0.10440453800246641,0.20392935170289905
NHL_2024,2,101,-0.060339082981970216,-0.06643319238937517
NHL_2024,3,206,0.031799103184916966,-0.09356770059201291
NHL_2024,4,288,-0.08855904942078352,0.011045401336463145
NHL_2024,5,315,-0.06044525827949443,-0.006669775116963317
NHL_2024,6,220,-0.023813479604936183,-0.10431360881092078
NHL_2024,7,102,-0.07036257908253407,-0.0030239711990244222
NHL_2024,8,43,-0.062056939869269745,-0.22125060631423699
NHL_2024,9,27,0.029636314760399518,0.0021155551761262714
NHL_2023,0,32,-0.04073891892765502,0.03708037473976522
NHL_2023,1,49,0.16576279905236424,-0.1852380952380952
NHL_2023,2,121,0.019483708471346173,-0.06345776614662546
NHL_2023,3,212,-0.013014761054917612,-0.0807053171429889
NHL_2023,4,281,0.15133460270453014,-0.19086098981666366
NHL_2023,5,278,0.009472527162149413,-0.09096776892664737
NHL_2023,6,199,-0.03314335964494208,-0.0068382035337835045
NHL_2023,7,124,-0.056739566072026903,-0.0694535256595038
NHL_2023,8,46,-0.043199768903326885,-0.13541519780650213
NHL_2023,9,31,-0.15004060509057904,0.2018798302001552
NHL_2022,0,36,0.12283194122997942,-0.18985662420955285
NHL_2022,1,75,-0.10394762345152764,0.05715769557002304
NHL_2022,2,158,0.007979298488903552,-0.1275159817502146
NHL_2022,3,182,0.14658064232592194,-0.29042815862455784
NHL_2022,4,259,-0.11128883816663993,0.007516676142709899
NHL_2022,5,232,0.011939153680953218,-0.09820449402389553
NHL_2022,6,193,-0.01496788031480245,-0.027124886596787245
NHL_2022,7,136,-0.007790987177518804,-0.10959903584693831
NHL_2022,8,64,0.01783377891043081,-0.10124174008810571
NHL_2022,9,39,0.0668105930148224,-0.2053217248385497
NHL_2021,0,23,-0.5378871301974886,0.5974782740856848
NHL_2021,1,47,-0.020117627056486787,-0.09982904931742709
NHL_2021,2,106,-0.017474335977339828,-0.04674450274294528
NHL_2021,3,129,-0.02854897949762847,-0.040503271693773324
NHL_2021,4,169,-0.0055712411696583475,-0.04337648707290387
NHL_2021,5,153,0.016181971469987344,-0.12256200639694881
NHL_2021,6,136,-0.03937819713794877,-0.012816823248590792
NHL_2021,7,113,0.05474940192236688,-0.2994305632765899
NHL_2021,8,37,-0.16284280527815165,0.11243620754019878
NHL_2021,9,21,-0.1544099747384109,0.11247682245401203
NHL_2020,0,32,-0.03902648851418011,0.01804962381751052
NHL_2020,1,34,-0.254777668553401,0.21532839232045742
NHL_2020,2,70,-0.08454144570629862,0.07795274674044261
NHL_2020,3,181,-0.023903439668672255,-0.01603133987970151
NHL_2020,4,282,0.05135442943463997,-0.11463056377992875
NHL_2020,5,314,-0.1406228574446955,0.10266243905185446
NHL_2020,6,160,-0.02314851805496998,-0.06304315870910693
NHL_2020,7,76,-0.12372907255942656,0.07308370304314593
NHL_2020,8,25,-0.14829981394598235,-0.10997037037037038
NHL_2020,9,26,0.25171247255839546,-0.3906288156288157
NHL_2019,0,18,-0.09073838031261161,0.05431620024239181
NHL_2019,1,21,-0.19720256166411154,0.07416582871485478
NHL_2019,2,92,-0.10734729783323593,0.04247514996786261
NHL_2019,3,207,-0.07659024145747073,-0.013723911974647396
NHL_2019,4,312,-0.009295838222462272,-0.0694586510852393
NHL_2019,5,360,-0.08653119410848997,0.047353437392058995
NHL_2019,6,210,-0.0867948685252995,0.06426227188380262
NHL_2019,7,67,-0.09907627777111738,0.073731343283582
NHL_2019,8,19,0.04235450807040286,-0.20658255227108868
NHL_2019,9,30,-0.2490190314973998,0.2186880589432172
NHL_2018,0,32,0.2271997734466975,-0.2786981273273813
NHL_2018,1,33,-0.007762568921495738,-0.023940925820577497
NHL_2018,2,106,0.020719428263953565,-0.13380372275905683
NHL_2018,3,205,-0.03965415870987499,-0.03209370092259167
NHL_2018,4,283,0.031248229626830826,-0.08428832724410185
NHL_2018,5,319,0.03854911445457554,-0.12207208274012626
NHL_2018,6,177,0.05268975422579891,-0.2065298002705498
NHL_2018,7,107,0.02094789282171683,-0.13532710280373828
NHL_2018,8,43,-0.2507120992899876,0.3883720930232557
NHL_2018,9,28,-0.11619281052368757,0.05908241605489306
NHL_2017,0,27,-0.6568741040914622,0.525406166645197
NHL_2017,1,27,-0.027469845237689916,-0.08441357249978931
NHL_2017,2,92,0.03236581994245369,-0.11493873494914875
NHL_2017,3,212,-0.010816545650356613,-0.056968003785569765
NHL_2017,4,306,-0.06754842391417692,-0.007452572315197026
NHL_2017,5,294,-0.0700028215106514,0.009558160890819734
NHL_2017,6,208,-0.030554753954136205,-0.06068227380727409
NHL_2017,7,85,-0.04377829370074515,-0.05712605042016805
NHL_2017,8,24,0.043115740690214954,-0.18313746438746437
NHL_2017,9,19,0.16569718522932475,-0.24315789473684213
NHL_2016,0,36,0.2910627657270528,-0.36318326820641633
NHL_2016,1,31,0.08272675727493661,-0.08347875865098398
NHL_2016,2,68,-0.17154561327982665,0.1287199627764437
NHL_2016,3,180,0.023974834110849663,-0.13117528100258902
NHL_2016,4,332,-0.09330474356117935,0.020761500441965897
NHL_2016,5,336,-0.056564133081871915,-0.013633152764107814
NHL_2016,6,185,-0.18926567267953254,0.21043640490884585
NHL_2016,7,58,0.10328431351351397,-0.27931784107946034
NHL_2016,8,36,-0.06096022178217375,-0.06789247940490584
NHL_2016,9,34,-0.11305542309891603,0.09558823529411775
NHL_2015,0,26,-0.12682537266100746,0.011305526914451525
NHL_2015,1,39,-0.038979883932751536,-0.10089063001809206
NHL_2015,2,137,-0.028892909248701137,-0.028379649947367414
NHL_2015,3,189,0.0369392275972229,-0.09998289055113774
NHL_2015,4,249,-0.09421060652649726,0.019337233936330467
NHL_2015,5,270,-0.08024260304757402,0.023476768517194824
NHL_2015,6,197,-0.06385072518249091,-0.021282226157074646
NHL_2015,7,125,0.05471070099404174,-0.22887999999999997
NHL_2015,8,28,-0.11502051111185507,0.16382832080200505
NHL_2015,9,37,-0.16303888866559546,0.13530652603823334
NHL_2014,0,32,0.036991980315645545,-0.10720827533818234
NHL_2014,1,52,0.030833384996782343,-0.0629946344460931
NHL_2014,2,127,0.09250589608820792,-0.15107239135899875
NHL_2014,3,189,-0.04325819186085733,-0.03969843025948838
NHL_2014,4,236,-0.016164649507464546,-0.04730315926576578
NHL_2014,5,283,0.002328512861442311,-0.07049980403827127
NHL_2014,6,186,-0.10566503239041836,0.09190030172765296
NHL_2014,7,103,-0.07646830321759024,0.031061527440453984
NHL_2014,8,42,0.1657453810520988,-0.440952380952381
NHL_2014,9,47,-0.0007106284119182682,-0.06758811109306484
NHL_2013,0,25,-0.24546153112999847,0.1170432758181561
NHL_2013,1,43,-0.04865757579674723,-0.0967699908312164
NHL_2013,2,64,-0.10199504394961989,0.0803317909940251
NHL_2013,3,106,-0.12539023273656125,0.04824281365537253
NHL_2013,4,148,-0.0900078442673663,0.0006928806690988942
NHL_2013,5,157,0.054998915803396775,-0.14880026840028815
NHL_2013,6,117,0.03397558558010694,-0.17473567584678695
NHL_2013,7,75,-0.054401648143105996,-0.0048057971014493495
NHL_2013,8,26,-0.06655336430228476,-0.0736263736263737
NHL_2013,9,26,0.18388588608900003,-0.3931411033787945
NHL_2012,0,28,-0.36557212284677887,0.32270345921091814
NHL_2012,1,18,0.2591079704362098,-0.2767394038352806
NHL_2012,2,87,-0.1270616572608526,0.08712508571741995
NHL_2012,3,189,-0.1688183344565276,0.11807865483719926
NHL_2012,4,327,-0.014477837087738421,-0.0767123609356758
NHL_2012,5,341,-0.0909064433271276,0.019618814360647496
NHL_2012,6,197,-0.05577366413760587,-0.027624952879144904
NHL_2012,7,65,0.016911884708843195,-0.16400504413619166
NHL_2012,8,15,-0.08498010050411009,-0.05171830985915493
NHL_2012,9,26,0.07890739301843297,-0.2412040857693032
NHL_2011,0,21,0.07712215320910976,-0.011540448871980913
NHL_2011,1,28,-0.3706595887749532,0.3566229754236936
NHL_2011,2,72,-0.0018779034269383876,-0.10720602869295759
NHL_2011,3,171,-0.11822914884176772,-0.00901228833085188
NHL_2011,4,337,0.10721149619287051,-0.18006914814850783
NHL_2011,5,355,-0.10091502346114722,0.026261029823378523
NHL_2011,6,190,-0.10168925924557892,0.0629194781826361
NHL_2011,7,66,-0.04223003709199502,-0.06045454545454543
NHL_2011,8,33,-0.18433823057082954,0.26555555555555554
NHL_2011,9,20,-0.3498752951313824,0.2803041423559076
NHL_2010,0,35,-0.18349665759145095,0.07642040423563512
NHL_2010,1,27,0.09694964693937336,-0.20451225888567326
NHL_2010,2,110,-0.07689805486325663,0.058959575997899805
NHL_2010,3,202,0.013860161502130763,-0.06297260525114023
NHL_2010,4,281,0.013492418023634212,-0.08080833724343506
NHL_2010,5,272,0.008161943718582254,-0.06504084771116325
NHL_2010,6,198,0.00020993092477206154,-0.12091303101941397
NHL_2010,7,105,-0.08829584426837445,-0.0007907924552909007
NHL_2010,8,39,0.11837248645716891,-0.16076923076923078
NHL_2010,9,25,0.05700045776277052,-0.17021149425287363
NHL_2009,0,20,0.12121361032320443,-0.2783575668026226
NHL_2009,1,36,-0.2337604037367118,0.2108156487458117
NHL_2009,2,102,0.15724833507246028,-0.22730857446852537
NHL_2009,3,158,-0.24137796596740624,0.20679580614672055
NHL_2009,4,218,-0.12078965611469794,0.040622078859569255
NHL_2009,5,241,-0.08711939441161454,0.021863417256606343
NHL_2009,6,175,-0.06952373861832628,0.05338803051585006
NHL_2009,7,86,-0.02080698661505076,-0.005813953488372103
NHL_2009,8,26,0.04831389794058483,-0.1626923076923077
NHL_2009,9,27,0.06234514347111797,-0.0811232544019429
