league,n,favorite_roi,underdog_roi
mlb,38546,-0.031467130638062724,-0.03880921496393919
nfl,4258,-0.04650740126662367,-0.050558947862846426
nba,20361,-0.03647424390734877,-0.05102745444722756
nhl,20223,-0.024101275226127927,-0.049669683034168965
