season,bin,n,favorite_roi,underdog_roi
MLB_2013,4,665,-0.039893666703542885,-0.024451127819548835
MLB_2013,5,1116,-0.04151547573334324,-0.02557347670250898
MLB_2013,6,524,-0.004212383230054129,-0.07706106870229013
MLB_2013,7,50,-0.11249444600000369,0.15959999999999996
MLB_2013,8,0,-2.0,-2.0
MLB_2013,9,0,-2.0,-2.0
MLB_2012,0,0,-2.0,-2.0
MLB_2012,1,0,-2.0,-2.0
MLB_2012,2,0,-2.0,-2.0
MLB_2012,3,106,0.050985935595665666,-0.18443396226415099
MLB_2012,4,685,-0.03972369069586967,-0.030000000000000027
MLB_2012,5,1157,-0.030634998048266193,-0.03469317199654276
MLB_2012,6,493,-0.06017478673509136,-0.007200811359026393
MLB_2012,7,24,-0.05319467702138225,-0.022083333333333344
MLB_2012,8,0,-2.0,-2.0
MLB_2012,9,0,-2.0,-2.0
MLB_2011,0,0,-2.0,-2.0
MLB_2011,1,0,-2.0,-2.0
MLB_2011,2,2,-0.31481481481481477,0.6699999999999999
MLB_2011,3,88,-0.07004592749787009,0.036477272727272636
MLB_2011,4,653,0.030390965758744448,-0.11073506891271057
MLB_2011,5,1200,-0.04232532161056113,-0.02788333333333337
MLB_2011,6,491,-0.033447103673293954,-0.03668024439918538
MLB_2011,7,23,-0.0037306408570376703,-0.12521739130434784
MLB_2011,8,0,-2.0,-2.0
MLB_2011,9,0,-2.0,-2.0
MLB_2010,0,0,-2.0,-2.0
MLB_2010,1,0,-2.0,-2.0
MLB_2010,2,1,0.3676470588235292,-1.0
MLB_2010,3,106,-0.16450836306292138,0.17811320754716986
MLB_2010,4,669,-0.051800080125524506,-0.00020926756352768194
MLB_2010,5,1035,-0.007971202591708582,-0.06811594202898552
MLB_2010,6,584,-0.022085437852608525,-0.05111301369863008
MLB_2010,7,49,-0.049050299237366146,0.02632653061224488
MLB_2010,8,0,-2.0,-2.0
MLB_2010,9,0,-2.0,-2.0
MLB_2009,0,0,-2.0,-2.0
MLB_2009,1,0,-2.0,-2.0
MLB_2009,2,1,0.3597122302158271,-1.0
MLB_2009,3,108,-0.02262581175879963,-0.0881481481481482
MLB_2009,4,653,-0.06422369567789776,-0.005130168453292505
MLB_2009,5,1095,-0.012159707846570611,-0.06833789954337899
MLB_2009,6,527,-0.049553944486924406,-0.02700189753320681
MLB_2009,7,53,-0.04828623451022451,-0.02264150943396226
MLB_2009,8,0,-2.0,-2.0
MLB_2009,9,0,-2.0,-2.0
MLB_2008,0,0,-2.0,-2.0
MLB_2008,1,0,-2.0,-2.0
MLB_2008,2,0,-2.0,-2.0
MLB_2008,3,55,-0.02725949645964365,-0.09272727272727277
MLB_2008,4,574,-0.09152214726840291,0.0075435540069686
MLB_2008,5,1229,-0.000674288352216168,-0.0973230268510985
MLB_2008,6,415,-0.055696694183866025,-0.04226506024096388
MLB_2008,7,21,-0.001045534463011255,-0.21523809523809523
MLB_2008,8,0,-2.0,-2.0
MLB_2008,9,0,-2.0,-2.0
MLB_2007,0,0,-2.0,-2.0
MLB_2007,1,0,-2.0,-2.0
MLB_2007,2,0,-2.0,-2.0
MLB_2007,3,22,-0.15004157664041395,0.12954545454545463
MLB_2007,4,189,-0.04726733739089117,-0.03476190476190477
MLB_2007,5,500,-0.021891031009286688,-0.053159999999999985
MLB_2007,6,119,0.02074349810645404,-0.16739495798319326
MLB_2007,7,1,-1.0,2.5
MLB_2007,8,0,-2.0,-2.0
MLB_2007,9,0,-2.0,-2.0
MLB_2006,0,0,-2.0,-2.0
MLB_2006,1,0,-2.0,-2.0
MLB_2006,2,0,-2.0,-2.0
MLB_2006,3,3,0.5233620596644548,-1.0
MLB_2006,4,22,-0.1935861135905117,0.1790909090909092
MLB_2006,5,52,0.12155524947715635,-0.2253846153846154
MLB_2006,6,7,0.07885516781051094,-0.25142857142857145
MLB_2006,7,0,-2.0,-2.0
MLB_2006,8,0,-2.0,-2.0
MLB_2006,9,0,-2.0,-2.0
