team,index,game_url
ARI,470,usa/nhl-2018-2019/los-angeles-kings-arizona-coyotes-AeqBSp8K/#home-away;1
ARI,471,usa/nhl-2018-2019/arizona-coyotes-los-angeles-kings-I3JqMlpe/#home-away;1
ARI,484,usa/nhl-2017-2018/arizona-coyotes-nashville-predators-tYEaTAuE/#home-away;1
ARI,643,usa/nhl-2016-2017/los-angeles-kings-arizona-coyotes-UB4P1Vtf/#home-away;1
ARI,644,usa/nhl-2016-2017/arizona-coyotes-los-angeles-kings-fZm0L1Lg/#home-away;1
ARI,813,usa/nhl-2014-2015/calgary-flames-arizona-coyotes-xAs5BWf9/#home-away;1
ARI,990,usa/nhl-2011-2012/arizona-coyotes-ottawa-senators-M9SPCsHD/#home-away;1
ARI,1038,usa/nhl-2011-2012/arizona-coyotes-san-jose-sharks-KYw6CM5G/#home-away;1
ARI,1213,usa/nhl-2009-2010/arizona-coyotes-san-jose-sharks-E3aTHJyo/#home-away;1
ARI,1215,usa/nhl-2009-2010/tampa-bay-lightning-arizona-coyotes-EkdUraAE/#home-away;1
ARI,1293,usa/nhl-2008-2009/ottawa-senators-arizona-coyotes-drOV7Lxh/#home-away;1
ARI,1295,usa/nhl-2008-2009/anaheim-ducks-arizona-coyotes-8Amtwpzc/#home-away;1
ARI,1297,usa/nhl-2007-2008/anaheim-ducks-arizona-coyotes-EJQrl2uB/#home-away;1
ARI,1298,usa/nhl-2007-2008/dallas-stars-arizona-coyotes-S2OWj4eh/#home-away;1
ARI,1299,usa/nhl-2007-2008/arizona-coyotes-dallas-stars-808VhQQu/#home-away;1
ARI,1304,usa/nhl-2007-2008/arizona-coyotes-los-angeles-kings-SUOYZBK0/#home-away;1
ARI,1307,usa/nhl-2007-2008/arizona-coyotes-edmonton-oilers-ryQdsEH4/#home-away;1
ARI,1314,usa/nhl-2007-2008/chicago-blackhawks-arizona-coyotes-j9axwp8S/#home-away;1
ARI,1323,usa/nhl-2007-2008/calgary-flames-arizona-coyotes-Q7HnTgMD/#home-away;1
ARI,1328,usa/nhl-2007-2008/arizona-coyotes-nashville-predators-QRyXh1Nn/#home-away;1
ARI,1329,usa/nhl-2007-2008/arizona-coyotes-buffalo-sabres-KhgjpXvF/#home-away;1
ARI,1340,usa/nhl-2007-2008/arizona-coyotes-colorado-avalanche-ITv5EaWt/#home-away;1
ARI,1353,usa/nhl-2007-2008/detroit-red-wings-arizona-coyotes-rL9ISLGA/#home-away;1
ARI,1356,usa/nhl-2007-2008/arizona-coyotes-toronto-maple-leafs-x2uvjeDr/#home-away;1
ARI,1360,usa/nhl-2007-2008/arizona-coyotes-san-jose-sharks-IgAMO60O/#home-away;1
ARI,1361,usa/nhl-2007-2008/san-jose-sharks-arizona-coyotes-lEM9R8G5/#home-away;1
ARI,1366,usa/nhl-2007-2008/dallas-stars-arizona-coyotes-2quPFBHg/#home-away;1
ARI,1371,usa/nhl-2007-2008/arizona-coyotes-minnesota-wild-nct5skEB/#home-away;1
ARI,1378,usa/nhl-2006-2007/san-jose-sharks-arizona-coyotes-G4I5uY7p/#home-away;1
ARI,1383,usa/nhl-2006-2007/minnesota-wild-arizona-coyotes-8O8VMSel/#home-away;1
ARI,1390,usa/nhl-2006-2007/anaheim-ducks-arizona-coyotes-bT5R4ZI5/#home-away;1
ARI,1398,usa/nhl-2006-2007/arizona-coyotes-anaheim-ducks-UiriAzfh/#home-away;1
ARI,1408,usa/nhl-2006-2007/los-angeles-kings-arizona-coyotes-j3C1tpIc/#home-away;1
ARI,1415,usa/nhl-2006-2007/winnipeg-jets-arizona-coyotes-UiCFL4Kl/#home-away;1
ARI,1425,usa/nhl-2006-2007/san-jose-sharks-arizona-coyotes-QT4v12tb/#home-away;1
ARI,1426,usa/nhl-2006-2007/arizona-coyotes-dallas-stars-AuXYqA56/#home-away;1
ARI,1430,usa/nhl-2006-2007/minnesota-wild-arizona-coyotes-nsQQSdDH/#home-away;1
ARI,1431,usa/nhl-2006-2007/arizona-coyotes-new-jersey-devils-OKOcwLS7/#home-away;1
ARI,1432,usa/nhl-2006-2007/anaheim-ducks-arizona-coyotes-vH0mFwqI/#home-away;1
ARI,1443,usa/nhl-2006-2007/edmonton-oilers-arizona-coyotes-vaa0NLIl/#home-away;1
ARI,1444,usa/nhl-2006-2007/arizona-coyotes-dallas-stars-S60MU3QE/#home-away;1
ARI,1446,usa/nhl-2006-2007/nashville-predators-arizona-coyotes-b7zBsp5d/#home-away;1
ARI,1447,usa/nhl-2006-2007/detroit-red-wings-arizona-coyotes-M7rw2EjB/#home-away;1
ARI,1466,usa/nhl-2005-2006/anaheim-ducks-arizona-coyotes-rux4lssn/#home-away;1
ARI,1473,usa/nhl-2005-2006/arizona-coyotes-dallas-stars-zD5ZJJEt/#home-away;1
ARI,1481,usa/nhl-2005-2006/dallas-stars-arizona-coyotes-Kjt32FlU/#home-away;1
ARI,1483,usa/nhl-2005-2006/arizona-coyotes-florida-panthers-hhY9HRF1/#home-away;1
ARI,1490,usa/nhl-2005-2006/arizona-coyotes-colorado-avalanche-tKRIs2kj/#home-away;1
ARI,1491,usa/nhl-2005-2006/arizona-coyotes-los-angeles-kings-bscuUrLj/#home-away;1
ARI,1504,usa/nhl-2005-2006/dallas-stars-arizona-coyotes-zsPw730B/#home-away;1
