tournament,BUF,BAL,SEA,PIT,IND,CIN,CLE,LAR,HOU,LV,ATL,TB,CAR,PHI,MIA,JAX,KC,MIN,LAC,GB,DAL,TEN,NYG,NYJ,ARI,SF,NE,NO,DEN,DET,CHI,WSH
NFL_2009,0.3293520225,0.25366662866666667,0.3551734953846154,0.16779536857142857,0.22477407083333334,0.41517737666666665,0.4137091433333333,0.37008505583333334,0.20399261923076922,0.3401390141666667,0.256586325,0.359838595,0.25162619923076923,0.26040837,0.25525585076923074,0.3507254858333333,0.310585565,0.2439748608333333,0.24337941,0.29752734166666667,0.2174630641666667,0.30643219692307694,0.2389181957142857,0.15759486083333332,0.27944697533333335,0.35792233166666665,0.32981425000000003,0.3160156166666667,0.3136495658333333,0.3680894215384616,0.2527923216666667,0.31558201916666667
NFL_2010,0.3051801104761905,0.25154579772727276,0.3412053655,0.2643661836842105,0.25842217086956526,0.26322028714285717,0.32004132750000003,0.3115558989473684,0.28703166249999995,0.343509778,0.238900799,0.3080291885,0.353312864,0.23604852333333332,0.26030413599999996,0.278461822,0.3132376889473684,0.2233040977272727,0.2959336866666667,0.28300034857142853,0.23255941727272725,0.2521774585714286,0.311485456,0.3299399726086957,0.29889700904761907,0.3047427485,0.24861591666666666,0.33318649695652175,0.3429477305,0.4103956805,0.30293166150000006,0.30338439300000003
NFL_2011,0.316476006,0.23318069227272728,0.3134243142857143,0.25117859227272726,0.24784040809523808,0.35649333285714285,0.27592510578947366,0.2902759695,0.27814356500000004,0.2742412773684211,0.2463736185714286,0.22109702850000001,0.381004339,0.2825203761904762,0.2738251155,0.31758971150000004,0.25490532476190475,0.2305941035,0.19079439157894737,0.22010964541666667,0.27169789095238095,0.3142554285,0.275044418,0.2984375560869565,0.3821745175,0.27799660473684207,0.2426837175,0.2977664825,0.33335084849999996,0.290781423,0.29757621,0.23929496150000001
NFL_2012,0.342525031,0.17809066818181818,0.31382469300000004,0.2749602152380953,0.396081203,0.3005179,0.39006703849999996,0.3536711535,0.2844703859090909,0.2757767445,0.25695652904761906,0.32881177,0.308568486,0.296307615,0.2842127505,0.3703125585,0.3860436135,0.28761321500000003,0.270434342,0.2952933347619048,0.291034215,0.2285326575,0.22403167791666667,0.23071072999999997,0.2859978835,0.21145455090909093,0.22887298304347828,0.21475779681818183,0.2800807486363637,0.2697916866666667,0.3122797115,0.264210084
NFL_2013,0.31325409049999997,0.25172081458333334,0.24750087954545455,0.1932654365,0.36577103666666666,0.2546063742857143,0.36073680750000003,0.32097474,0.26339493227272726,0.3513433225,0.22324697636363633,0.32907842,0.259968858,0.283835255,0.31825994,0.3149739995,0.312314499,0.3139618552380952,0.23823487100000001,0.20195595727272728,0.24126741150000003,0.297565035,0.21075501449999998,0.27900295750000004,0.3610995966666667,0.2359545791304348,0.28922699227272725,0.3467790080952381,0.2770262328571429,0.25819856,0.2548261955,0.23999379952380953
NFL_2014,0.287846162,0.24468194,0.2407763447826087,0.3014653645,0.2919643218181818,0.21906339476190476,0.349729007,0.29627135,0.34196151049999995,0.366167717,0.3041432155,0.312538082,0.21101428285714288,0.29967663714285714,0.29416747904761903,0.279038016,0.2936547761904762,0.39002864550000005,0.206358835,0.27689115,0.22624155809523808,0.31529514000000003,0.23151681200000002,0.323973056,0.2915734675,0.3047128634782609,0.21994296727272725,0.22150304500000004,0.2516721717391304,0.29536310499999996,0.22455057250000002,0.31527601
NFL_2015,0.25766440619047615,0.21351713181818183,0.19405482434782612,0.302735419047619,0.2734542356521739,0.27974369619047623,0.28426211,0.35189420650000003,0.27276464,0.4444047995,0.3078636715,0.307824679,0.2523708936363636,0.20682965150000002,0.331995169,0.3804331005,0.2497884205,0.2860366775,0.26154035800000003,0.2291259840909091,0.2908118177272727,0.312820373,0.23630648619047617,0.3013826325,0.296233090952381,0.288338832,0.2255629413043478,0.29065737300000005,0.2403375885714286,0.27859581523809523,0.301094875,0.30998727300000006
NFL_2016,0.2626883615,0.3200066965,0.30879229772727274,0.2667295621739131,0.29345243400000004,0.2673985933333333,0.342374885,0.2808131585,0.2398101261904762,0.2611048085,0.31435827499999996,0.2739880565,0.2108928256521739,0.2533860745,0.278947277,0.3411096845,0.2659223490909091,0.22484025545454545,0.315114919,0.2901379031818182,0.2702095135,0.2818269365,0.2549588015,0.234147748,0.27030328,0.3504839805,0.22736849,0.30294071850000004,0.27382658304347823,0.23484712000000002,0.2660467285,0.3140890480952381
NFL_2017,0.24827447249999998,0.2792680095,0.1923024068181818,0.24329913173913043,0.22950328650000001,0.28632697,0.335376152,0.3046843045,0.2835193918181818,0.2464236438095238,0.23769207130434783,0.262948102,0.26795745000000004,0.2629440215,0.2906698938095238,0.32968633999999997,0.25043113476190476,0.2430205295,0.2960191705,0.25550887782608694,0.24196326285714284,0.23121739149999998,0.29512766761904763,0.315291488,0.27100291099999996,0.327259066,0.2766632756521739,0.332257672,0.26431608949999996,0.26278732047619047,0.32976982850000003,0.26941927200000004
NFL_2018,0.28123031380952385,0.2557689785,0.2904081315,0.28988505571428574,0.316324438,0.31268935999999997,0.2912940335,0.2721643714285714,0.38515573210526316,0.2870385545,0.3103114740909091,0.315618103,0.2886984185714286,0.2049961704347826,0.30706456550000005,0.19607009130434783,0.23816626190476187,0.2771650022727273,0.26280189000000004,0.24185524049999998,0.2873588535,0.2599381045454546,0.30433272,0.368705509,0.26323112476190474,0.3262210305,0.2936952360869565,0.2004288827272727,0.2960675075,0.2088449545,0.3491658545,0.249951751
