season,moneyline_brier_score,baseline_brier_score
MLB_2006,0.2380331535714286,0.24424686159513898
MLB_2007,0.24426702091456076,0.2477478147260621
MLB_2008,0.2421005056277245,0.24695364353678564
MLB_2009,0.24141997805908905,0.24769439295200432
MLB_2010,0.24132953808919802,0.24710436362301605
MLB_2011,0.24198023636955637,0.2492874221537818
MLB_2012,0.24227472945638945,0.24901945329131783
MLB_2013,0.2411219689046653,0.24850023487427203
MLB_2014,0.2423711749776332,0.2491054535381811
MLB_2015,0.24201143896341465,0.24832598259107647
MLB_2016,0.2403563932019504,0.24919910780299778
MLB_2017,0.24067094959854013,0.2482419137415893
MLB_2018,0.23814530956486377,0.24935038780567736
MLB_2019,0.2355695877718941,0.2492856872466259
MLB_2020,0.23895615312026,0.24778727330307396
MLB_2021,0.23900900876628664,0.24835160250886362
MLB_2022,0.23640593887312525,0.2488688095063298
MLB_2023,0.2421384036662607,0.2500567864871129
