season,moneyline_brier_score,baseline_brier_score
NHL_2009,0.23737959560429722,0.24629585965012304
NHL_2010,0.24241058281487105,0.2468451027729719
NHL_2011,0.24350405414448667,0.2500867632061466
NHL_2012,0.24236731286474164,0.24754560699652822
NHL_2013,0.2368734131885856,0.24496266544760775
NHL_2014,0.2404137570325511,0.2482990925243289
NHL_2015,0.23647438960486322,0.2481249001574195
NHL_2016,0.24212479514047075,0.24938186808157065
NHL_2017,0.2379741667224335,0.24693043534920397
NHL_2018,0.23816582450922505,0.24688646210923604
NHL_2019,0.2419855247345133,0.2488577980928638
NHL_2020,0.24360234028641573,0.24978356006253566
NHL_2021,0.23175916444794953,0.24889898309714545
NHL_2022,0.22545570358827732,0.24831229282236356
NHL_2023,0.232065297691208,0.25006816163280404
NHL_2024,0.2319968382357143,0.248647551320357
