date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
09-10-2022,MIN,CHI,29,22,1,NFL_2022/2023,usa/nfl-2022-2023/minnesota-vikings-chicago-bears-8QodUYwD/,-404,309,-370,330
02-10-2022,NYG,CHI,20,12,1,NFL_2022/2023,usa/nfl-2022-2023/new-york-giants-chicago-bears-0tK6JHPf/,-149,125,-143,134
25-09-2022,CHI,HOU,23,20,1,NFL_2022/2023,usa/nfl-2022-2023/chicago-bears-houston-texans-MBSMbslS/,-164,138,-154,150
18-09-2022,GB,CHI,27,10,1,NFL_2022/2023,usa/nfl-2022-2023/green-bay-packers-chicago-bears-ngzA1q49/,-464,350,-417,380
11-09-2022,CHI,SF,19,10,1,NFL_2022/2023,usa/nfl-2022-2023/chicago-bears-san-francisco-49ers-EBjMigIf/,226,-283,254,-263
27-08-2022,CLE,CHI,20,21,0,NFL_2022/2023,usa/nfl-2022-2023/cleveland-browns-chicago-bears-f3Lww8WE/,-193,146,-167,167
18-08-2022,SEA,CHI,11,27,0,NFL_2022/2023,usa/nfl-2022-2023/seattle-seahawks-chicago-bears-xSYlQ9VB/,-192,146,-175,164
13-08-2022,CHI,KC,19,14,1,NFL_2022/2023,usa/nfl-2022-2023/chicago-bears-kansas-city-chiefs-CAWNBAGI/,-104,-122,110,119
09-01-2022,MIN,CHI,31,17,1,NFL_2021/2022,usa/nfl-2021-2022/minnesota-vikings-chicago-bears-W0IxFrB6/,-186,157,-175,170
02-01-2022,CHI,NYG,29,3,1,NFL_2021/2022,usa/nfl-2021-2022/chicago-bears-new-york-giants-OGnq57sr/,-294,238,-270,250
26-12-2021,SEA,CHI,24,25,0,NFL_2021/2022,usa/nfl-2021-2022/seattle-seahawks-chicago-bears-48BTAxE3/,-319,256,-294,266
20-12-2021,CHI,MIN,9,17,0,NFL_2021/2022,usa/nfl-2021-2022/chicago-bears-minnesota-vikings-ABHo0Lao/,263,-326,281,-303
12-12-2021,GB,CHI,45,30,1,NFL_2021/2022,usa/nfl-2021-2022/green-bay-packers-chicago-bears-WSCrTL7O/,-680,496,-588,540
05-12-2021,CHI,ARI,22,33,0,NFL_2021/2022,usa/nfl-2021-2022/chicago-bears-arizona-cardinals-ALMPGiI1/,292,-369,312,-357
25-11-2021,DET,CHI,14,16,0,NFL_2021/2022,usa/nfl-2021-2022/detroit-lions-chicago-bears-hrVdhHZq/,116,-137,125,-128
21-11-2021,CHI,BAL,13,16,0,NFL_2021/2022,usa/nfl-2021-2022/chicago-bears-baltimore-ravens-6oc91LCc/,103,-122,110,-119
08-11-2021,PIT,CHI,29,27,1,NFL_2021/2022,usa/nfl-2021-2022/pittsburgh-steelers-chicago-bears-CQMwNYwr/,-308,249,-294,263
31-10-2021,CHI,SF,22,33,0,NFL_2021/2022,usa/nfl-2021-2022/chicago-bears-san-francisco-49ers-dbliWHab/,178,-211,186,-200
24-10-2021,TB,CHI,38,3,1,NFL_2021/2022,usa/nfl-2021-2022/tampa-bay-buccaneers-chicago-bears-KCwDIbVb/,-690,495,-625,525
17-10-2021,CHI,GB,14,24,0,NFL_2021/2022,usa/nfl-2021-2022/chicago-bears-green-bay-packers-8vD4iMWa/,193,-230,202,-204
10-10-2021,LV,CHI,9,20,0,NFL_2021/2022,usa/nfl-2021-2022/las-vegas-raiders-chicago-bears-fVaIuPXm/,-241,200,-213,216
03-10-2021,CHI,DET,24,14,1,NFL_2021/2022,usa/nfl-2021-2022/chicago-bears-detroit-lions-GrNXXzzA/,-150,129,-147,134
26-09-2021,CLE,CHI,26,6,1,NFL_2021/2022,usa/nfl-2021-2022/cleveland-browns-chicago-bears-rHNL5IjH/,-370,297,-333,315
