date,team_1,score_1,score_2,team_2,game_url
27/Sep,Dallas Stars,4,2,Colorado Avalanche,usa/nhl/dallas-stars-colorado-avalanche-EiMO6Psp/
23/Sep,Colorado Avalanche,2,3,Dallas Stars,usa/nhl/colorado-avalanche-dallas-stars-G4IQ8CDU/
17/May,Colorado Avalanche,1,2,Dallas Stars,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-nBFAwaiC/
15/May,Dallas Stars,3,5,Colorado Avalanche,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-zo7Df9yP/
13/May,Colorado Avalanche,1,5,Dallas Stars,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-rupYRkMa/
11/May,Colorado Avalanche,1,4,Dallas Stars,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-ARoQTBim/
09/May,Dallas Stars,5,3,Colorado Avalanche,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-js5gZXTP/
07/May,Dallas Stars,3,4,Colorado Avalanche,usa/nhl-2023-2024/dallas-stars-colorado-avalanche-OzD7BUyJ/
30/Apr,Winnipeg Jets,3,6,Colorado Avalanche,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-djYXeAu2/
28/Apr,Colorado Avalanche,5,1,Winnipeg Jets,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-Qq3IWPY9/
26/Apr,Colorado Avalanche,6,2,Winnipeg Jets,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-4UE9Yo4c/
23/Apr,Winnipeg Jets,2,5,Colorado Avalanche,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-viNNArCj/
21/Apr,Winnipeg Jets,7,6,Colorado Avalanche,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-MNvEK7X0/
18/Apr,Colorado Avalanche,5,1,Edmonton Oilers,usa/nhl-2023-2024/colorado-avalanche-edmonton-oilers-dnjQjOy8/
14/Apr,Vegas Golden Knights,4,3,Colorado Avalanche,usa/nhl-2023-2024/vegas-golden-knights-colorado-avalanche-UHNqVhD2/
13/Apr,Colorado Avalanche,0,7,Winnipeg Jets,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-ABic1Hgb/
09/Apr,Colorado Avalanche,5,2,Minnesota Wild,usa/nhl-2023-2024/colorado-avalanche-minnesota-wild-tMQurZip/
07/Apr,Colorado Avalanche,4,7,Dallas Stars,usa/nhl-2023-2024/colorado-avalanche-dallas-stars-rRrgiwVc/
05/Apr,Edmonton Oilers,6,2,Colorado Avalanche,usa/nhl-2023-2024/edmonton-oilers-colorado-avalanche-Ct9NJJAI/
04/Apr,Minnesota Wild,2,5,Colorado Avalanche,usa/nhl-2023-2024/minnesota-wild-colorado-avalanche-K8u7b0LQ/
01/Apr,Columbus Blue Jackets,4,1,Colorado Avalanche,usa/nhl-2023-2024/columbus-blue-jackets-colorado-avalanche-ljObM6er/
30/Mar,Colorado Avalanche,7,4,Nashville Predators,usa/nhl-2023-2024/colorado-avalanche-nashville-predators-MLiU6Ree/
28/Mar,Colorado Avalanche,2,3,New York Rangers,usa/nhl-2023-2024/colorado-avalanche-new-york-rangers-dYKxHBJ2/
26/Mar,Colorado Avalanche,1,2,Montreal Canadiens,usa/nhl-2023-2024/colorado-avalanche-montreal-canadiens-4IS46fIB/
