Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,home_rating,away_rating
19/04/2024,MIA,CHI,112,91,NBA_2024,0.030721157992711207,0.022883823273687973
17/04/2024,CHI,ATL,131,116,NBA_2024,0.022346754162485313,0.019217117090917873
14/04/2024,NY,CHI,120,119,NBA_2024,0.041606044589243815,0.0227795332909655
12/04/2024,WSH,CHI,127,129,NBA_2024,0.0049446069672797795,0.022429188404231953
11/04/2024,DET,CHI,105,127,NBA_2024,0.004388091575618217,0.02214600630384551
09/04/2024,CHI,NY,117,128,NBA_2024,0.022628554297753203,0.03833395816508204
07/04/2024,ORL,CHI,113,98,NBA_2024,0.03506925698914897,0.023299261814340336
05/04/2024,CHI,NY,108,100,NBA_2024,0.022279322568291068,0.038652264350645914
01/04/2024,CHI,ATL,101,113,NBA_2024,0.022966151243720426,0.020747917099791725
31/03/2024,MIN,CHI,101,109,NBA_2024,0.06854685112403881,0.022022636193823428
29/03/2024,BKN,CHI,125,108,NBA_2024,0.014910146943876094,0.022826382805050817
27/03/2024,CHI,IND,125,99,NBA_2024,0.021791922673292722,0.03370391329762607
25/03/2024,CHI,WSH,105,107,NBA_2024,0.02283404039337505,0.004820262239111005
23/03/2024,CHI,BOS,113,124,NBA_2024,0.023190563562188984,0.10946737407110504
21/03/2024,HOU,CHI,127,117,NBA_2024,0.02509674665216967,0.024060567047086777
18/03/2024,CHI,POR,110,107,NBA_2024,0.023900407193433167,0.010311754214374799
16/03/2024,CHI,WSH,127,98,NBA_2024,0.023657336803809315,0.004345973895723908
14/03/2024,CHI,LAC,111,126,NBA_2024,0.024325869491803025,0.05264749905074441
13/03/2024,IND,CHI,129,132,NBA_2024,0.03404663868185425,0.023378900718857842
11/03/2024,CHI,DAL,92,127,NBA_2024,0.024203663521888436,0.03638106709938922
09/03/2024,LAC,CHI,112,102,NBA_2024,0.05545800723150526,0.024682156103904555
06/03/2024,UTAH,CHI,117,119,NBA_2024,0.020863948938651292,0.023086218652195213
04/03/2024,SAC,CHI,109,113,NBA_2024,0.04021601207090968,0.0216434796817401
01/03/2024,CHI,MIL,97,113,NBA_2024,0.022313376122411275,0.04604513695728394
28/02/2024,CHI,CLE,132,123,NBA_2024,0.02100984547816162,0.0504545210568024
27/02/2024,CHI,DET,95,105,NBA_2024,0.02246229197215901,0.0035677587193902916
25/02/2024,NO,CHI,106,114,NBA_2024,0.041646177465960034,0.02102080389627328
22/02/2024,CHI,BOS,112,129,NBA_2024,0.021209020250302597,0.10056348331450228
14/02/2024,CLE,CHI,108,105,NBA_2024,0.052146706744307166,0.02171785583639382
12/02/2024,ATL,CHI,126,136,NBA_2024,0.020463836863476578,0.020661812114177606
10/02/2024,ORL,CHI,114,108,NBA_2024,0.031653304325341546,0.021406180332746754
08/02/2024,MEM,CHI,110,118,NBA_2024,0.015775159623438326,0.0205613415638504
06/02/2024,CHI,MIN,129,123,NBA_2024,0.01886140831873829,0.06859555257070088
03/02/2024,CHI,SAC,115,123,NBA_2024,0.019843021750347443,0.04121843851459452
31/01/2024,CHA,CHI,110,117,NBA_2024,0.005761324563818747,0.019331558088851123
30/01/2024,CHI,TOR,107,118,NBA_2024,0.02052845654855914,0.012641786152842486
28/01/2024,POR,CHI,96,104,NBA_2024,0.01014902940053071,0.019859877687441668
25/01/2024,LAL,CHI,141,132,NBA_2024,0.027281152863370833,0.020703470881460947
22/01/2024,PHX,CHI,115,113,NBA_2024,0.031008652613401556,0.021787347589238365
20/01/2024,CHI,MEM,125,96,NBA_2024,0.020982591115215676,0.015741126304553533
18/01/2024,TOR,CHI,110,116,NBA_2024,0.015290223460788762,0.019908021681180443
