Prediction_Method,Brier_Score
nhl_full_ml,0.23780517924590813
nhl_half_ml,0.23749062794356438
mlb_full_ml,0.24049352908265445
mlb_half_ml,0.23928233771818702
nfl_full_ml,0.2109030223767027
nfl_half_ml,0.2037381490660377
nba_full_ml,0.20301273468248124
nba_half_ml,0.20096643358119406
