date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
06-05-2015,CHW,DET,7,6,1,MLB_2015,usa/mlb-2015/chicago-white-sox-detroit-tigers-8vR62T82/,-139,119,-116,136
05-05-2015,CHW,DET,5,2,1,MLB_2015,usa/mlb-2015/chicago-white-sox-detroit-tigers-zXT6X89S/,107,-118,175,100
03-05-2015,KC,DET,4,6,0,MLB_2015,usa/mlb-2015/kansas-city-royals-detroit-tigers-rHaZvEgs/,104,-123,110,-116
02-05-2015,KC,DET,1,2,0,MLB_2015,usa/mlb-2015/kansas-city-royals-detroit-tigers-A96w9D9D/,105,-125,112,-120
01-05-2015,KC,DET,4,1,1,MLB_2015,usa/mlb-2015/kansas-city-royals-detroit-tigers-rufD4bIR/,-123,105,-114,120
30-04-2015,KC,DET,8,1,1,MLB_2015,usa/mlb-2015/kansas-city-royals-detroit-tigers-23a9nadq/,-124,104,-112,114
29-04-2015,MIN,DET,7,10,0,MLB_2015,usa/mlb-2015/minnesota-twins-detroit-tigers-jRAAlnST/,-109,-109,-102,-101
28-04-2015,MIN,DET,3,2,1,MLB_2015,usa/mlb-2015/minnesota-twins-detroit-tigers-K4sPxkTH/,126,-147,137,-139
27-04-2015,MIN,DET,4,5,0,MLB_2015,usa/mlb-2015/minnesota-twins-detroit-tigers-ze4xTDag/,144,-168,165,-159
26-04-2015,DET,CLE,8,6,1,MLB_2015,usa/mlb-2015/detroit-tigers-cleveland-guardians-Qu5fZf5S/,-104,-114,100,-108
25-04-2015,DET,CLE,4,1,1,MLB_2015,usa/mlb-2015/detroit-tigers-cleveland-guardians-rcm4OwiA/,-143,125,-110,163
24-04-2015,DET,CLE,1,13,0,MLB_2015,usa/mlb-2015/detroit-tigers-cleveland-guardians-xQkIE2No/,-124,105,-115,125
23-04-2015,DET,NYY,1,2,0,MLB_2015,usa/mlb-2015/detroit-tigers-new-york-yankees-OfRGdU10/,-106,-112,-104,-102
22-04-2015,DET,NYY,4,13,0,MLB_2015,usa/mlb-2015/detroit-tigers-new-york-yankees-GfoUHYY1/,-188,162,-182,168
