Item,rating,ranking
BOS,1.0,1
VGK,0.914830595266658,2
PIT,0.7936927036578625,3
WSH,0.7171008772778891,4
TB,0.7061765001925683,5
NYR,0.6915795762418658,6
STL,0.6074586587947504,7
COL,0.4915688897224604,8
CAR,0.48798445399793766,9
DAL,0.4831129780525983,10
WPG,0.46361707755888254,11
LA,0.45799301525976677,12
NSH,0.4506005162131977,13
TOR,0.44137439337941914,14
MIN,0.43351822068980517,15
CGY,0.4130264473050214,16
VAN,0.3893576370440231,17
FLA,0.3685309701648925,18
CHI,0.35237341037783865,19
PHI,0.3309082832338609,20
NYI,0.3068539451580726,21
EDM,0.29182199833826783,22
SJ,0.2852305469203344,23
MTL,0.23772400466843796,24
NJ,0.23577103530994226,25
DET,0.1976240647129188,26
SEA,0.18314816197650252,27
ANA,0.15981084346850746,28
CBJ,0.1367037464697474,29
OTT,0.13020610675472807,30
BUF,0.03263608494535321,31
ARI,0.0,32
