date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
03-08-2024,TEX,BOS,7,4,1,MLB,usa/mlb/texas-rangers-boston-red-sox-8fFkZRae/,-114,-102
02-08-2024,TEX,BOS,6,11,0,MLB,usa/mlb/texas-rangers-boston-red-sox-A1UQ7n6K/,-113,-103
31-07-2024,STL,TEX,10,1,1,MLB,usa/mlb/st-louis-cardinals-texas-rangers-CQz1ka7j/,-100,-115
30-07-2024,STL,TEX,8,1,1,MLB,usa/mlb/st-louis-cardinals-texas-rangers-EeQwOJDF/,107,-124
29-07-2024,STL,TEX,3,6,0,MLB,usa/mlb/st-louis-cardinals-texas-rangers-nwWCzccL/,-103,-112
28-07-2024,TOR,TEX,7,3,1,MLB,usa/mlb/toronto-blue-jays-texas-rangers-SnUWL27l/,116,-135
27-07-2024,TOR,TEX,7,3,1,MLB,usa/mlb/toronto-blue-jays-texas-rangers-zRbqRqQO/,-130,113
26-07-2024,TOR,TEX,6,5,1,MLB,usa/mlb/toronto-blue-jays-texas-rangers-xWxSkT2P/,-118,101
25-07-2024,TEX,CHW,2,1,1,MLB,usa/mlb/texas-rangers-chicago-white-sox-xAwEabml/,-251,211
24-07-2024,TEX,CHW,10,2,1,MLB,usa/mlb/texas-rangers-chicago-white-sox-AwQqDHHm/,-281,236
23-07-2024,TEX,CHW,3,2,1,MLB,usa/mlb/texas-rangers-chicago-white-sox-zajrMC0I/,-132,114
22-07-2024,TEX,CHW,4,3,1,MLB,usa/mlb/texas-rangers-chicago-white-sox-hvFuuR6c/,-178,153
21-07-2024,TEX,BAL,3,2,1,MLB,usa/mlb/texas-rangers-baltimore-orioles-ny9NkrLF/,-125,109
20-07-2024,TEX,BAL,4,8,0,MLB,usa/mlb/texas-rangers-baltimore-orioles-vgCqewce/,-107,-108
19-07-2024,TEX,BAL,1,9,0,MLB,usa/mlb/texas-rangers-baltimore-orioles-MTkoDBIt/,-104,-112
14-07-2024,HOU,TEX,2,4,0,MLB,usa/mlb/houston-astros-texas-rangers-QPvDJYdA/,-123,106
13-07-2024,HOU,TEX,1,2,0,MLB,usa/mlb/houston-astros-texas-rangers-vimZOTYk/,101,-118
12-07-2024,HOU,TEX,6,3,1,MLB,usa/mlb/houston-astros-texas-rangers-Mq05p21Q/,-144,125
10-07-2024,LAA,TEX,7,2,1,MLB,usa/mlb/los-angeles-angels-texas-rangers-vPh51fxI/,110,-127
09-07-2024,LAA,TEX,4,5,0,MLB,usa/mlb/los-angeles-angels-texas-rangers-nmR6JSc3/,156,-181
08-07-2024,LAA,TEX,4,9,0,MLB,usa/mlb/los-angeles-angels-texas-rangers-nHh282k2/,132,-152
07-07-2024,TEX,TB,13,2,1,MLB,usa/mlb/texas-rangers-tampa-bay-rays-fgUWtNeR/,-128,112
06-07-2024,TEX,TB,4,3,1,MLB,usa/mlb/texas-rangers-tampa-bay-rays-AmPjWQb6/,-109,-106
05-07-2024,TEX,TB,3,0,1,MLB,usa/mlb/texas-rangers-tampa-bay-rays-d2hhlaKi/,-102,-114
04-07-2024,TEX,SD,1,3,0,MLB,usa/mlb/texas-rangers-san-diego-padres-QcYWadJ3/,-113,-102
03-07-2024,TEX,SD,4,6,0,MLB,usa/mlb/texas-rangers-san-diego-padres-4Qjh5ieq/,-156,136
02-07-2024,TEX,SD,7,0,1,MLB,usa/mlb/texas-rangers-san-diego-padres-2LMWQPNJ/,101,-117
30-06-2024,BAL,TEX,2,11,0,MLB,usa/mlb/baltimore-orioles-texas-rangers-fDb1SxaO/,-166,144
29-06-2024,BAL,TEX,6,5,1,MLB,usa/mlb/baltimore-orioles-texas-rangers-tOe1ccbb/,-165,143
28-06-2024,BAL,TEX,2,1,1,MLB,usa/mlb/baltimore-orioles-texas-rangers-dxkFZENl/,-114,-101
27-06-2024,BAL,TEX,11,2,1,MLB,usa/mlb/baltimore-orioles-texas-rangers-W803IGKH/,-197,170
26-06-2024,MIL,TEX,6,5,1,MLB,usa/mlb/milwaukee-brewers-texas-rangers-URYWJ8vP/,100,-116
25-06-2024,MIL,TEX,3,1,1,MLB,usa/mlb/milwaukee-brewers-texas-rangers-benXNaZr/,-105,-111
24-06-2024,MIL,TEX,6,3,1,MLB,usa/mlb/milwaukee-brewers-texas-rangers-ETV9k6TG/,-172,149
23-06-2024,TEX,KC,4,0,1,MLB,usa/mlb/texas-rangers-kansas-city-royals-M1T3zzOC/,-159,138
22-06-2024,TEX,KC,6,0,1,MLB,usa/mlb/texas-rangers-kansas-city-royals-pdC9Qbfl/,-145,125
21-06-2024,TEX,KC,6,2,1,MLB,usa/mlb/texas-rangers-kansas-city-royals-0jghKNXE/,-146,126
19-06-2024,TEX,NYM,5,3,1,MLB,usa/mlb/texas-rangers-new-york-mets-YsMWOQ1n/,-103,-113
18-06-2024,TEX,NYM,6,7,0,MLB,usa/mlb/texas-rangers-new-york-mets-fTYWg62C/,108,-125
17-06-2024,TEX,NYM,2,14,0,MLB,usa/mlb/texas-rangers-new-york-mets-2aukqklf/,-135,117
16-06-2024,SEA,TEX,5,0,1,MLB,usa/mlb/seattle-mariners-texas-rangers-MsL44aK2/,-144,125
15-06-2024,SEA,TEX,7,5,1,MLB,usa/mlb/seattle-mariners-texas-rangers-Msw4ZvLS/,-122,106
14-06-2024,SEA,TEX,3,2,1,MLB,usa/mlb/seattle-mariners-texas-rangers-Kz86Qqxb/,-138,120
13-06-2024,LAD,TEX,1,3,0,MLB,usa/mlb/los-angeles-dodgers-texas-rangers-6DN79i16/,-188,162
12-06-2024,LAD,TEX,2,3,0,MLB,usa/mlb/los-angeles-dodgers-texas-rangers-jNfMcf2f/,-167,145
11-06-2024,LAD,TEX,15,2,1,MLB,usa/mlb/los-angeles-dodgers-texas-rangers-ChwA8jaF/,-166,144
09-06-2024,TEX,SF,7,2,1,MLB,usa/mlb/texas-rangers-san-francisco-giants-SODmetPb/,-154,134
08-06-2024,TEX,SF,1,3,0,MLB,usa/mlb/texas-rangers-san-francisco-giants-dUleQLPO/,-119,104
07-06-2024,TEX,SF,2,5,0,MLB,usa/mlb/texas-rangers-san-francisco-giants-tYYdHQtf/,103,-119
05-06-2024,TEX,DET,9,1,1,MLB,usa/mlb/texas-rangers-detroit-tigers-vViGoEZB/,-148,129
04-06-2024,TEX,DET,1,3,0,MLB,usa/mlb/texas-rangers-detroit-tigers-Cf0ag5yL/,-113,-101
03-06-2024,TEX,DET,1,2,0,MLB,usa/mlb/texas-rangers-detroit-tigers-IJLMun7L/,-108,-107
02-06-2024,MIA,TEX,0,6,0,MLB,usa/mlb/miami-marlins-texas-rangers-r1T9rlN2/,108,-125
01-06-2024,MIA,TEX,0,7,0,MLB,usa/mlb/miami-marlins-texas-rangers-W2yADTNS/,-113,-102
31-05-2024,MIA,TEX,8,2,1,MLB,usa/mlb/miami-marlins-texas-rangers-8jDHHKIn/,116,-134
29-05-2024,TEX,ARI,6,1,1,MLB,usa/mlb/texas-rangers-arizona-diamondbacks-My60Nqj1/,-134,117
28-05-2024,TEX,ARI,4,2,1,MLB,usa/mlb/texas-rangers-arizona-diamondbacks-6kBRUHUA/,-127,111
26-05-2024,MIN,TEX,2,6,0,MLB,usa/mlb/minnesota-twins-texas-rangers-xAcuJKVb/,-168,145
25-05-2024,MIN,TEX,5,3,1,MLB,usa/mlb/minnesota-twins-texas-rangers-fHOml0WO/,-143,125
24-05-2024,MIN,TEX,3,2,1,MLB,usa/mlb/minnesota-twins-texas-rangers-0WtmhiRr/,-159,137
23-05-2024,PHI,TEX,5,2,1,MLB,usa/mlb/philadelphia-phillies-texas-rangers-CW1Zndk3/,-203,175
22-05-2024,PHI,TEX,11,4,1,MLB,usa/mlb/philadelphia-phillies-texas-rangers-hjy4XGkG/,-119,103
21-05-2024,PHI,TEX,5,2,1,MLB,usa/mlb/philadelphia-phillies-texas-rangers-dzQ5OL6o/,-168,146
19-05-2024,TEX,LAA,1,4,0,MLB,usa/mlb/texas-rangers-los-angeles-angels-v52rrhoo/,-157,137
18-05-2024,TEX,LAA,3,2,1,MLB,usa/mlb/texas-rangers-los-angeles-angels-jRlMxc95/,-129,113
17-05-2024,TEX,LAA,3,9,0,MLB,usa/mlb/texas-rangers-los-angeles-angels-b9o0X1XP/,-191,165
15-05-2024,TEX,CLE,4,0,1,MLB,usa/mlb/texas-rangers-cleveland-guardians-OIgkJBCF/,-189,164
14-05-2024,TEX,CLE,4,7,0,MLB,usa/mlb/texas-rangers-cleveland-guardians-8MgDpi6j/,-118,103
13-05-2024,TEX,CLE,0,7,0,MLB,usa/mlb/texas-rangers-cleveland-guardians-x4M5f7IH/,-104,-109
12-05-2024,COL,TEX,3,1,1,MLB,usa/mlb/colorado-rockies-texas-rangers-8OUlbkJh/,126,-143
11-05-2024,COL,TEX,8,3,1,MLB,usa/mlb/colorado-rockies-texas-rangers-ncdmtHc7/,131,-149
10-05-2024,COL,TEX,4,2,1,MLB,usa/mlb/colorado-rockies-texas-rangers-8rgRzMLR/,163,-185
08-05-2024,OAK,TEX,11,12,0,MLB,usa/mlb/oakland-athletics-texas-rangers-ny38OiW4/,125,-141
08-05-2024,OAK,TEX,9,4,1,MLB,usa/mlb/oakland-athletics-texas-rangers-4CD3PXGb/,104,-119
07-05-2024,OAK,TEX,8,15,0,MLB,usa/mlb/oakland-athletics-texas-rangers-W4G3fDHO/,104,-118
06-05-2024,OAK,TEX,2,4,0,MLB,usa/mlb/oakland-athletics-texas-rangers-r9TCoIYg/,119,-136
05-05-2024,KC,TEX,2,3,0,MLB,usa/mlb/kansas-city-royals-texas-rangers-GY9VYvkl/,117,-132
04-05-2024,KC,TEX,4,15,0,MLB,usa/mlb/kansas-city-royals-texas-rangers-SzCHdNPc/,-107,-106
03-05-2024,KC,TEX,7,1,1,MLB,usa/mlb/kansas-city-royals-texas-rangers-UuKHR2QN/,-119,104
02-05-2024,TEX,WSH,6,0,1,MLB,usa/mlb/texas-rangers-washington-nationals-QTbJI7sg/,-190,167
01-05-2024,TEX,WSH,0,1,0,MLB,usa/mlb/texas-rangers-washington-nationals-W8jiFYz1/,-195,170
30-04-2024,TEX,WSH,7,1,1,MLB,usa/mlb/texas-rangers-washington-nationals-KfGxAwaL/,-161,141
28-04-2024,TEX,CIN,4,3,1,MLB,usa/mlb/texas-rangers-cincinnati-reds-4QvBUAuC/,-130,115
27-04-2024,TEX,CIN,4,8,0,MLB,usa/mlb/texas-rangers-cincinnati-reds-6ssFy7Vs/,-117,102
26-04-2024,TEX,CIN,2,1,1,MLB,usa/mlb/texas-rangers-cincinnati-reds-xhd5VV88/,-169,149
25-04-2024,TEX,SEA,3,4,0,MLB,usa/mlb/texas-rangers-seattle-mariners-SMEE881e/,103,-117
24-04-2024,TEX,SEA,5,1,1,MLB,usa/mlb/texas-rangers-seattle-mariners-0CEZ7yBp/,-145,128
23-04-2024,TEX,SEA,0,4,0,MLB,usa/mlb/texas-rangers-seattle-mariners-8fBD2tZ4/,100,-114
21-04-2024,ATL,TEX,4,6,0,MLB,usa/mlb/atlanta-braves-texas-rangers-YuyGcfi8/,-158,139
20-04-2024,ATL,TEX,5,2,1,MLB,usa/mlb/atlanta-braves-texas-rangers-p0WwPZpq/,-138,121
19-04-2024,ATL,TEX,8,3,1,MLB,usa/mlb/atlanta-braves-texas-rangers-YodPJv93/,-207,181
18-04-2024,DET,TEX,7,9,0,MLB,usa/mlb/detroit-tigers-texas-rangers-ImoQHcMI/,-100,-113
17-04-2024,DET,TEX,4,5,0,MLB,usa/mlb/detroit-tigers-texas-rangers-8bo1N1hs/,-142,125
16-04-2024,DET,TEX,4,2,1,MLB,usa/mlb/detroit-tigers-texas-rangers-AmR8hsg7/,107,-122
15-04-2024,DET,TEX,0,1,0,MLB,usa/mlb/detroit-tigers-texas-rangers-rJInmnHR/,-120,105
14-04-2024,HOU,TEX,8,5,1,MLB,usa/mlb/houston-astros-texas-rangers-b9TYeMb6/,-110,-103
13-04-2024,HOU,TEX,9,2,1,MLB,usa/mlb/houston-astros-texas-rangers-bDLLJ4ZF/,-136,120
12-04-2024,HOU,TEX,8,12,0,MLB,usa/mlb/houston-astros-texas-rangers-K2QropTj/,-123,108
11-04-2024,TEX,OAK,0,1,0,MLB,usa/mlb/texas-rangers-oakland-athletics-W2oVukiB/,-198,173
10-04-2024,TEX,OAK,6,2,1,MLB,usa/mlb/texas-rangers-oakland-athletics-4hojuI00/,-187,164
09-04-2024,TEX,OAK,3,4,0,MLB,usa/mlb/texas-rangers-oakland-athletics-EoyYYtvR/,-206,180
08-04-2024,TEX,HOU,5,10,0,MLB,usa/mlb/texas-rangers-houston-astros-lOPO74uS/,-128,113
07-04-2024,TEX,HOU,1,3,0,MLB,usa/mlb/texas-rangers-houston-astros-SWNTAFkh/,-109,-105
06-04-2024,TEX,HOU,7,2,1,MLB,usa/mlb/texas-rangers-houston-astros-4flVenPI/,-108,-105
05-04-2024,TEX,HOU,10,2,1,MLB,usa/mlb/texas-rangers-houston-astros-I3eqnBef/,122,-138
03-04-2024,TB,TEX,1,4,0,MLB,usa/mlb/tampa-bay-rays-texas-rangers-pjy6YiRf/,-122,108
02-04-2024,TB,TEX,5,2,1,MLB,usa/mlb/tampa-bay-rays-texas-rangers-MenrtqT3/,-151,130
