Item,rating,ranking
LAL,17.31608759513259,1
BOS,14.13106676567677,2
ORL,9.867936518579377,3
HOU,7.794686030054081,4
POR,6.401527902447297,5
CLE,6.014362899603076,6
DEN,5.930348261425072,7
SA,3.649423219781951,8
NO,3.1331056727260393,9
PHX,2.677378376600674,10
OKC,2.090255589327769,11
MIL,1.8674784966677276,12
UTAH,1.693186779164149,13
ATL,1.5683673895271175,14
IND,1.1143887031411888,15
DAL,1.1032046518352923,16
MEM,-0.5326027069149686,17
CHA,-0.9346144544815416,18
DET,-1.218427513689063,19
TOR,-1.7484280508599994,20
CHI,-2.396399809322749,21
MIA,-2.59971442863764,22
BKN,-3.0226389450726163,23
NY,-5.054528191826277,24
PHI,-6.787837272643174,25
MIN,-8.698108331853163,26
GS,-9.089322927779207,27
LAC,-13.667374935352479,28
WSH,-15.084182025951621,29
SAC,-15.518625257306871,30
