Item,rating,ranking
CHI,106.46204579341872,1
DAL,91.93026296831444,2
VAN,91.60382373667301,3
CGY,86.21179797117514,4
NSH,86.0294154977655,5
SJ,60.592997783528475,6
DET,50.728297685626686,7
ARI,50.09751914404616,8
WPG,47.17719043644994,9
PIT,44.89180688037975,10
VGK,36.87879329362177,11
MIN,30.026003337114574,12
NJ,27.34121396212041,13
ANA,20.48193137883609,14
CAR,12.18714511636096,15
MTL,4.143809620799821,16
TOR,3.8643738122868285,17
STL,-7.591595645377769,18
OTT,-21.465774279100437,19
BOS,-22.782213508027905,20
CBJ,-24.940440410360054,21
TB,-34.2844987436952,22
LA,-36.77069697426235,23
NYR,-49.68471586824293,24
PHI,-49.859081763169144,25
FLA,-67.09469169879155,26
WSH,-68.75844197018498,27
EDM,-69.28616502884188,28
SEA,-74.67237096533376,29
COL,-83.05588745325795,30
NYI,-101.2069144516695,31
BUF,-139.19493965820146,32
