Item,rating,ranking
BOS,3.1294198721103634,1
GS,3.118900809040711,2
SA,3.0936293473293497,3
DEN,2.23272944023854,4
OKC,2.2021194933025803,5
MIA,2.0364436388248524,6
LAC,1.976451360571636,7
UTAH,1.5527584529691838,8
DAL,1.4004333458641858,9
HOU,1.2594757237353058,10
MIL,0.9316310314423353,11
TOR,0.6705088854146147,12
IND,0.37229296533787093,13
LAL,0.11250061950379375,14
MEM,0.055042899005942586,15
POR,0.04972824891511843,16
CLE,-0.2073777677679511,17
PHX,-0.3535725552486953,18
ATL,-0.47290109844461103,19
CHI,-0.5545419764560409,20
NO,-0.5647059592353852,21
PHI,-0.9411077884375945,22
NY,-1.65385389739011,23
MIN,-1.797197006558038,24
ORL,-1.8764665937081544,25
BKN,-2.702359691389384,26
WSH,-2.866917284913863,27
SAC,-3.1099049176976123,28
CHA,-3.3712690872191198,29
DET,-3.7218905091398207,30
