Item,rating,ranking
VAN,35.52627647328461,1
CHI,28.83032738632701,2
CGY,27.973696696418976,3
ANA,20.952075981831506,4
DET,19.71605658082307,5
PIT,18.618047773244882,6
SJ,16.21954952947693,7
DAL,16.136514983648016,8
NJ,12.915763228677811,9
WPG,12.273270557399737,10
VGK,8.396862111107726,11
BOS,8.36673694896726,12
NSH,7.030368729145619,13
CAR,6.267980802917291,14
MIN,5.98733852626079,15
WSH,2.9805491583108186,16
STL,2.1077764818810643,17
TOR,-0.08490844589640467,18
ARI,-1.0962412806938318,19
CBJ,-1.6711259259558071,20
TB,-6.134964517065477,21
OTT,-6.655444991846489,22
EDM,-13.531192959623683,23
NYR,-13.844071934539244,24
MTL,-15.58695578760627,25
LA,-18.548171137095164,26
PHI,-20.28046032838538,27
SEA,-20.69020657374335,28
NYI,-21.389433346418606,29
FLA,-24.194575587945078,30
COL,-32.29933226995107,31
BUF,-54.29210686297186,32
