name,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10
nhl_ep_counts,1486.0,592.0,1338.0,2642.0,4183.0,4137.0,2683.0,1313.0,540.0,309.0
nhl_ep_props,0.0773,0.0308,0.0696,0.1374,0.2176,0.2152,0.1396,0.0683,0.0281,0.0161
nhl_ew_counts,1486.0,592.0,1338.0,2642.0,4183.0,4137.0,2683.0,1313.0,540.0,309.0
nhl_ew_props,0.0773,0.0308,0.0696,0.1374,0.2176,0.2152,0.1396,0.0683,0.0281,0.0161
nhl_ke_counts,1433.0,539.0,1300.0,2546.0,4485.0,4324.0,2581.0,1222.0,513.0,280.0
nhl_ke_props,0.0745,0.028,0.0676,0.1324,0.2333,0.2249,0.1343,0.0636,0.0267,0.0146
nhl_ma_counts,1431.0,588.0,1187.0,2465.0,4614.0,4581.0,2456.0,1113.0,581.0,207.0
nhl_ma_props,0.0744,0.0306,0.0617,0.1282,0.24,0.2383,0.1278,0.0579,0.0302,0.0108
nhl_od_counts,1591.0,844.0,1565.0,2553.0,3736.0,3675.0,2603.0,1481.0,796.0,379.0
nhl_od_props,0.0828,0.0439,0.0814,0.1328,0.1944,0.1912,0.1354,0.077,0.0414,0.0197
nhl_ml_counts_half,0.0,0.0,63.0,624.0,2335.0,4268.0,2401.0,406.0,19.0,0.0
nhl_ml_props_half,0.0,0.0,0.0062,0.0617,0.2308,0.4219,0.2373,0.0401,0.0019,0.0
nhl_bt_counts_half,305.0,321.0,842.0,1461.0,2216.0,2211.0,1490.0,734.0,306.0,174.0
nhl_bt_props_half,0.0303,0.0319,0.0837,0.1452,0.2203,0.2198,0.1481,0.073,0.0304,0.0173
nhl_ep_counts_half,744.0,269.0,702.0,1389.0,2180.0,2177.0,1407.0,698.0,253.0,173.0
nhl_ep_props_half,0.0745,0.0269,0.0703,0.139,0.2182,0.2179,0.1408,0.0699,0.0253,0.0173
nhl_ew_counts_half,744.0,269.0,702.0,1389.0,2180.0,2177.0,1407.0,698.0,253.0,173.0
nhl_ew_props_half,0.0745,0.0269,0.0703,0.139,0.2182,0.2179,0.1408,0.0699,0.0253,0.0173
nhl_ke_counts_half,711.0,294.0,648.0,1291.0,2389.0,2311.0,1269.0,651.0,287.0,141.0
nhl_ke_props_half,0.0712,0.0294,0.0649,0.1292,0.2391,0.2313,0.127,0.0652,0.0287,0.0141
nhl_ma_counts_half,679.0,300.0,580.0,1172.0,2537.0,2507.0,1230.0,577.0,313.0,97.0
nhl_ma_props_half,0.068,0.03,0.058,0.1173,0.2539,0.2509,0.1231,0.0577,0.0313,0.0097
nhl_od_counts_half,725.0,410.0,726.0,1304.0,2140.0,2099.0,1340.0,714.0,396.0,138.0
nhl_od_props_half,0.0726,0.041,0.0727,0.1305,0.2142,0.2101,0.1341,0.0715,0.0396,0.0138
