Item,rating,ranking
BOS,0.5459787105454974,1
VGK,0.4476321617612225,2
PIT,0.3815588359942892,3
WSH,0.3185606530145044,4
TB,0.27973467776065836,5
NYR,0.25052124678728954,6
STL,0.18668233413958077,7
CAR,0.07669912997141762,8
COL,0.07503585342816554,9
NSH,0.07256727731154813,10
DAL,0.0712786411098008,11
LA,0.052061833771047165,12
WPG,0.031153320202769945,13
TOR,0.019024839365272394,14
MIN,0.008927032995357458,15
CHI,0.005465279344694803,16
FLA,-0.012037474462502827,17
VAN,-0.01253607918959518,18
CGY,-0.02272679474821371,19
SJ,-0.07035234206020319,20
PHI,-0.08851782604192367,21
NYI,-0.10513090520869207,22
EDM,-0.17493275822198096,23
MTL,-0.1754016636143935,24
NJ,-0.1865637038883564,25
SEA,-0.2043372468849724,26
DET,-0.21044974094355937,27
ANA,-0.21660497206780718,28
CBJ,-0.2766680897717055,29
OTT,-0.28066621071100417,30
BUF,-0.3887641007722826,31
ARI,-0.397191918915923,32
