tournament,MIA,CHI,NY,WSH,DET,ORL,MIN,BKN,HOU,IND,LAC,UTAH,SAC,NO,CLE,ATL,MEM,CHA,POR,LAL,PHX,TOR,SA,PHI,MIL,BOS,OKC,DEN,DAL
NBA_2009,0.196,0.2178,0.2245,0.1902,0.2239,0.2185,0.1916,0.2274,0.2109,0.1955,0.1604,0.1629,0.1653,0.1706,0.1274,0.1768,0.1827,0.1996,0.1635,0.1774,0.1948,0.2262,0.2074,0.2331,0.1914,0.1866,0.169,0.1693,0.1884
NBA_2010,0.2225,0.2046,0.2159,0.2159,0.2168,0.1807,0.1495,0.1415,0.2346,0.1857,0.1835,0.2052,0.1696,0.2116,0.173,0.1882,0.2179,0.1962,0.2214,0.1706,0.2065,0.1903,0.2328,0.2182,0.1974,0.2345,0.2036,0.2103,0.2209
NBA_2011,0.1992,0.1795,0.2393,0.1475,0.1804,0.1899,0.1536,0.1562,0.205,0.1877,0.1962,0.237,0.2229,0.2343,0.186,0.2122,0.223,0.2056,0.2037,0.2187,0.2227,0.1915,0.1587,0.2016,0.2127,0.1945,0.2135,0.192,0.2161
NBA_2012,0.1778,0.1671,0.211,0.1803,0.169,0.2117,0.2161,0.1967,0.2237,0.2079,0.2116,0.1974,0.1838,0.2229,0.2087,0.1912,0.2198,0.1189,0.1875,0.2103,0.2263,0.2039,0.1655,0.2037,0.2143,0.2058,0.1896,0.2281,0.2117
NBA_2013,0.1637,0.2326,0.215,0.2231,0.1864,0.1844,0.2045,0.2126,0.2095,0.206,0.1927,0.177,0.1673,0.2063,0.2037,0.2051,0.2015,0.1595,0.2229,0.214,0.1925,0.2242,0.1709,0.2102,0.2202,0.2298,0.1744,0.1832,0.1943
NBA_2014,0.2015,0.2232,0.2402,0.2436,0.2143,0.1861,0.2101,0.2207,0.1973,0.1948,0.1892,0.1765,0.2035,0.201,0.2329,0.2047,0.204,0.2172,0.2105,0.2217,0.2556,0.222,0.1754,0.1656,0.1409,0.2081,0.2053,0.2059,0.2119
NBA_2015,0.2416,0.2234,0.1784,0.1985,0.2309,0.2153,0.1747,0.2307,0.2022,0.2056,0.2014,0.2298,0.2115,0.2429,0.1763,0.1977,0.1993,0.2211,0.1973,0.1793,0.2026,0.2054,0.193,0.1632,0.2142,0.2318,0.1786,0.2036,0.1875
NBA_2016,0.225,0.249,0.2078,0.2394,0.2298,0.2045,0.2125,0.2002,0.2447,0.2117,0.1983,0.2046,0.2191,0.2211,0.1768,0.2284,0.1958,0.2098,0.1955,0.1459,0.2032,0.207,0.1141,0.096,0.1962,0.2013,0.1705,0.2297,0.2063
NBA_2017,0.2318,0.2543,0.2155,0.1939,0.2388,0.2164,0.2246,0.158,0.1998,0.2198,0.2187,0.2035,0.2403,0.2305,0.1761,0.2551,0.2576,0.204,0.2272,0.2036,0.2185,0.2088,0.2058,0.204,0.2409,0.2038,0.2079,0.2289,0.2235
NBA_2018,0.2267,0.1948,0.1993,0.2441,0.2038,0.21,0.2018,0.2151,0.142,0.2187,0.198,0.2107,0.1995,0.222,0.2329,0.2035,0.1899,0.2,0.2198,0.2184,0.1836,0.1762,0.1986,0.2109,0.2126,0.2219,0.2331,0.2013,0.2167
NBA_2019,0.2438,0.1907,0.1742,0.231,0.1821,0.2334,0.2077,0.2088,0.2051,0.1871,0.2086,0.2019,0.2076,0.2372,0.1735,0.2189,0.2375,0.2117,0.1828,0.238,0.1769,0.1946,0.2077,0.1977,0.1733,0.2232,0.2434,0.2013,0.1977
NBA_2020,0.2262,0.1823,0.1959,0.2045,0.2094,0.1929,0.2399,0.2412,0.2353,0.2224,0.2201,0.2362,0.2563,0.2112,0.1997,0.184,0.2192,0.2261,0.2052,0.2084,0.2477,0.1943,0.2577,0.1764,0.1581,0.2023,0.2291,0.2306,0.2533
NBA_2021,0.221,0.2328,0.2191,0.2251,0.2042,0.1849,0.2197,0.2251,0.1914,0.2254,0.2284,0.1895,0.2362,0.2421,0.2096,0.2296,0.2314,0.2236,0.2125,0.1969,0.2236,0.2345,0.2388,0.181,0.2159,0.2407,0.1961,0.1925,0.2552
NBA_2022,0.2216,0.1829,0.2236,0.2294,0.2017,0.1811,0.2088,0.211,0.156,0.2054,0.2207,0.2017,0.22,0.2053,0.2154,0.2187,0.218,0.2238,0.209,0.2155,0.1817,0.2475,0.2167,0.2204,0.2023,0.2004,0.1885,0.2254,0.2142
NBA_2023,0.2542,0.2464,0.2369,0.2159,0.1452,0.2396,0.2536,0.2227,0.1827,0.2338,0.2033,0.2445,0.2279,0.2072,0.1949,0.2424,0.1778,0.2089,0.2127,0.2153,0.196,0.2234,0.189,0.232,0.1986,0.2369,0.2573,0.2108,0.2421
NBA_2024,0.2028,0.2241,0.193,0.1556,0.1428,0.2021,0.2121,0.1994,0.1926,0.2262,0.205,0.2048,0.2362,0.2214,0.2176,0.2285,0.2148,0.1872,0.1769,0.2078,0.2192,0.1832,0.1703,0.1907,0.2211,0.146,0.1894,0.1939,0.2114
