Item,rating,ranking
IND,192.23227175534302,1
PIT,189.63316110904555,2
NE,150.64608444485253,3
ATL,143.36912709572303,4
BAL,140.55400605466875,5
NO,138.64617557409701,6
DAL,105.36120574717364,7
LAC,99.56616321178574,8
MIA,98.34629019869527,9
SEA,94.05820356967013,10
ARI,89.60608061716276,11
GB,82.76143377608784,12
PHI,67.2699053912538,13
NYG,54.53047205639295,14
MIN,35.40336124002536,15
CAR,35.19943958629414,16
HOU,25.68852381727173,17
CHI,25.445662520234613,18
TEN,-20.02704549890813,19
NYJ,-21.21931580638399,20
DEN,-28.2857551249273,21
SF,-34.28683685191312,22
CIN,-52.82148792601438,23
WSH,-70.12848583462171,24
TB,-105.74303717155952,25
LV,-137.36740460054864,26
CLE,-149.5889643267364,27
LAR,-176.1102646240085,28
KC,-212.61132964736734,29
JAX,-229.3275016350879,30
BUF,-264.2652043268724,31
DET,-266.5349343908288,32
