tournament,MIA,CHI,NY,WSH,DET,ORL,MIN,BKN,HOU,IND,LAC,UTAH,SAC,NO,CLE,ATL,MEM,CHA,POR,LAL,PHX,TOR,SA,PHI,MIL,BOS,OKC,DEN,DAL
NBA_2009,0.283,0.2983,0.3498,0.3792,0.2925,0.2621,0.3343,0.3277,0.2533,0.3381,0.368,0.2962,0.4002,0.2991,0.2323,0.2681,0.4072,0.3238,0.2768,0.234,0.3028,0.3124,0.2688,0.2705,0.3329,0.2441,0.3875,0.2351,0.2316
NBA_2010,0.3052,0.2988,0.3327,0.3323,0.3575,0.2389,0.3797,0.383,0.2995,0.3599,0.3627,0.2806,0.341,0.3321,0.239,0.2419,0.3071,0.3108,0.289,0.214,0.2525,0.2866,0.2596,0.3032,0.3159,0.2787,0.2773,0.2291,0.2541
NBA_2011,0.2707,0.2578,0.272,0.3909,0.3452,0.2735,0.3808,0.3662,0.2893,0.2978,0.3253,0.2525,0.3484,0.2781,0.3855,0.2902,0.2702,0.3137,0.2616,0.2824,0.2995,0.3675,0.2289,0.3215,0.2809,0.2406,0.2531,0.2504,0.2479
NBA_2012,0.2373,0.2988,0.315,0.3713,0.3685,0.2898,0.2838,0.3042,0.2834,0.2641,0.2574,0.3184,0.3762,0.382,0.3507,0.2986,0.2569,0.4028,0.2889,0.2433,0.3231,0.3337,0.2519,0.2907,0.3154,0.2775,0.2251,0.2771,0.2573
NBA_2013,0.2363,0.2798,0.2513,0.3602,0.3478,0.3534,0.3388,0.2619,0.2663,0.2608,0.236,0.2845,0.3708,0.3301,0.3471,0.2811,0.2575,0.4126,0.3002,0.2932,0.3637,0.2931,0.2507,0.3083,0.2739,0.2763,0.2473,0.2278,0.2953
NBA_2014,0.2429,0.2504,0.3007,0.3198,0.3029,0.3955,0.2845,0.2698,0.2467,0.2522,0.2342,0.3645,0.3324,0.3115,0.3038,0.3087,0.2697,0.3106,0.2628,0.3442,0.2788,0.2538,0.2561,0.3527,0.389,0.3392,0.2494,0.3221,0.2633
NBA_2015,0.2868,0.2826,0.3493,0.2554,0.2941,0.342,0.3485,0.3339,0.263,0.3016,0.2643,0.3154,0.3304,0.2847,0.2453,0.2335,0.2548,0.299,0.2538,0.3512,0.3224,0.2625,0.2611,0.4057,0.3014,0.2891,0.2772,0.3235,0.3034
NBA_2016,0.2841,0.289,0.2738,0.309,0.2551,0.3274,0.2901,0.3666,0.3025,0.2789,0.257,0.3057,0.3004,0.345,0.2471,0.2584,0.3049,0.2744,0.2856,0.3747,0.3397,0.2744,0.2546,0.3869,0.3185,0.25,0.2858,0.3191,0.2794
NBA_2017,0.2653,0.2883,0.313,0.26,0.2733,0.3071,0.2833,0.3829,0.2461,0.2563,0.2524,0.2744,0.2933,0.3286,0.2817,0.27,0.2959,0.2804,0.2764,0.3541,0.3697,0.2568,0.2582,0.362,0.3078,0.2583,0.2587,0.2921,0.3013
NBA_2018,0.2542,0.335,0.3243,0.2781,0.2789,0.3496,0.2755,0.3295,0.2788,0.2568,0.2906,0.2778,0.3547,0.2853,0.2497,0.3286,0.3397,0.2825,0.267,0.2972,0.3342,0.2487,0.2498,0.2497,0.2709,0.2994,0.2335,0.2616,0.3458
NBA_2019,0.307,0.338,0.3498,0.2946,0.301,0.2819,0.2982,0.2939,0.2345,0.2727,0.2809,0.2692,0.2876,0.2493,0.3906,0.3861,0.3166,0.293,0.2577,0.2685,0.3879,0.2624,0.3003,0.248,0.2462,0.2644,0.2555,0.2465,0.3409
NBA_2020,0.2369,0.2896,0.3405,0.3307,0.3336,0.2782,0.3444,0.2758,0.2542,0.2861,0.268,0.2952,0.2776,0.317,0.3591,0.3395,0.3028,0.3199,0.2872,0.2691,0.3126,0.2666,0.297,0.2476,0.3148,0.2644,0.2925,0.244,0.2636
NBA_2021,0.2883,0.2874,0.2734,0.3178,0.3579,0.3291,0.3321,0.2462,0.3203,0.2802,0.2728,0.2658,0.2652,0.3261,0.322,0.254,0.2561,0.3029,0.2764,0.3304,0.2657,0.2563,0.2925,0.2608,0.2555,0.2778,0.3185,0.2622,0.2796
NBA_2022,0.2273,0.249,0.296,0.2972,0.3737,0.333,0.2857,0.2797,0.3443,0.3163,0.2833,0.2852,0.3004,0.3012,0.2449,0.2899,0.2597,0.2869,0.3229,0.285,0.2532,0.2661,0.285,0.296,0.2971,0.3011,0.3331,0.281,0.2727
NBA_2023,0.2614,0.269,0.2596,0.2903,0.332,0.329,0.3104,0.2558,0.3793,0.2767,0.2988,0.3141,0.2837,0.2931,0.2409,0.2648,0.2531,0.3012,0.2741,0.3006,0.2743,0.2591,0.35,0.2559,0.2824,0.2776,0.2839,0.2454,0.2751
NBA_2024,0.2769,0.3203,0.2595,0.343,0.3527,0.2575,0.2631,0.2918,0.3082,0.2612,0.2993,0.3379,0.2834,0.2954,0.2917,0.3064,0.277,0.3279,0.3687,0.2746,0.2668,0.2938,0.3578,0.2861,0.296,0.2641,0.2463,0.2506,0.2996
