season,brier_score,log_loss,brier_skill_loss_50_50,brier_skill_loss_home_prob_grouped,brier_skill_loss_home_prob_overall
NFL_2009,0.2085,0.6014,0.1658,0.1551,0.1541
NFL_2010,0.1971,0.5785,0.2114,0.1941,0.2003
NFL_2011,0.2197,0.6299,0.1212,0.1136,0.1088
NFL_2012,0.2036,0.5927,0.1857,0.166,0.1742
NFL_2013,0.211,0.6081,0.1562,0.1397,0.1443
NFL_2014,0.2044,0.5961,0.1824,0.153,0.1709
NFL_2015,0.2072,0.6003,0.1712,0.1531,0.1595
NFL_2016,0.2277,0.6467,0.0892,0.0844,0.0763
NFL_2017,0.2163,0.6203,0.1347,0.1122,0.1225
NFL_2018,0.2033,0.5935,0.1868,0.171,0.1753
NFL_2019,0.2123,0.6137,0.1508,0.1225,0.1388
NFL_2020,0.2141,0.616,0.1437,0.1467,0.1316
NFL_2021,0.2023,0.5909,0.1908,0.1946,0.1794
NFL_2022,0.2186,0.6248,0.1258,0.1296,0.1135
NFL_2023,0.209,0.6043,0.1639,0.1506,0.1522
NFL_2024,0.2179,0.6252,0.1284,0.1138,0.1161
