date,team_1,score_1,score_2,team_2,game_url
19/Oct,Brooklyn Nets,107,105,New York Knicks,usa/nba-2018-2019/brooklyn-nets-new-york-knicks-OY5lDIBD/
12/Oct,New York Knicks,107,113,Brooklyn Nets,usa/nba-2018-2019/new-york-knicks-brooklyn-nets-d8wEWLPO/
08/Oct,New York Knicks,98,110,Washington Wizards,usa/nba-2018-2019/new-york-knicks-washington-wizards-S8NFNQtf/
05/Oct,New York Knicks,106,100,New Orleans Pelicans,usa/nba-2018-2019/new-york-knicks-new-orleans-pelicans-SY66dlre/
03/Oct,Brooklyn Nets,102,107,New York Knicks,usa/nba-2018-2019/brooklyn-nets-new-york-knicks-zDgEJKqi/
01/Oct,Washington Wizards,121,124,New York Knicks,usa/nba-2018-2019/washington-wizards-new-york-knicks-YqXr4up4/
13/Jul,New Orleans Pelicans,83,102,New York Knicks,usa/nba-las-vegas-summer-league-2018/new-orleans-pelicans-new-york-knicks-Y35qhHcF/
10/Jul,New York Knicks,92,109,Los Angeles Lakers,usa/nba-las-vegas-summer-league-2018/new-york-knicks-los-angeles-lakers-bJh6kO5l/
03/Apr,New York Knicks,73,97,Orlando Magic,usa/nba-2017-2018/new-york-knicks-orlando-magic-OldhQKdL/
31/Mar,New York Knicks,109,115,Detroit Pistons,usa/nba-2017-2018/new-york-knicks-detroit-pistons-6wVmb2DS/
28/Mar,Philadelphia 76ers,118,101,New York Knicks,usa/nba-2017-2018/philadelphia-76ers-new-york-knicks-M3IEmfgg/
25/Mar,Washington Wizards,97,101,New York Knicks,usa/nba-2017-2018/washington-wizards-new-york-knicks-4l3aqcn1/
23/Mar,New York Knicks,104,108,Minnesota Timberwolves,usa/nba-2017-2018/new-york-knicks-minnesota-timberwolves-jaMPgj4i/
15/Mar,New York Knicks,110,118,Philadelphia 76ers,usa/nba-2017-2018/new-york-knicks-philadelphia-76ers-OdKkmonq/
13/Mar,New York Knicks,97,110,Dallas Mavericks,usa/nba-2017-2018/new-york-knicks-dallas-mavericks-K0PWtAP9/
11/Mar,New York Knicks,106,132,Toronto Raptors,usa/nba-2017-2018/new-york-knicks-toronto-raptors-2XpfsSk3/
06/Mar,Portland Trail Blazers,111,87,New York Knicks,usa/nba-2017-2018/portland-trail-blazers-new-york-knicks-AZ7P6HQr/
26/Feb,New York Knicks,111,125,Golden State Warriors,usa/nba-2017-2018/new-york-knicks-golden-state-warriors-hdU7Zird/
22/Feb,Orlando Magic,113,120,New York Knicks,usa/nba-2017-2018/orlando-magic-new-york-knicks-E7Ax3K7H/
14/Feb,New York Knicks,113,118,Washington Wizards,usa/nba-2017-2018/new-york-knicks-washington-wizards-j7Ec2mH6/
12/Feb,Philadelphia 76ers,108,92,New York Knicks,usa/nba-2017-2018/philadelphia-76ers-new-york-knicks-02uubYPK/
11/Feb,Indiana Pacers,121,113,New York Knicks,usa/nba-2017-2018/indiana-pacers-new-york-knicks-pzetwXme/
08/Feb,Toronto Raptors,113,88,New York Knicks,usa/nba-2017-2018/toronto-raptors-new-york-knicks-v75HRI28/
30/Jan,New York Knicks,111,95,Brooklyn Nets,usa/nba-2017-2018/new-york-knicks-brooklyn-nets-SO5NLG0U/
26/Jan,Phoenix Suns,85,107,New York Knicks,usa/nba-2017-2018/phoenix-suns-new-york-knicks-j1wgASe1/
25/Jan,Denver Nuggets,130,118,New York Knicks,usa/nba-2017-2018/denver-nuggets-new-york-knicks-4pFBckCe/
23/Jan,Golden State Warriors,123,112,New York Knicks,usa/nba-2017-2018/golden-state-warriors-new-york-knicks-WC076PwT/
21/Jan,Los Angeles Lakers,127,107,New York Knicks,usa/nba-2017-2018/los-angeles-lakers-new-york-knicks-bN43BdJt/
15/Jan,Brooklyn Nets,104,119,New York Knicks,usa/nba-2017-2018/brooklyn-nets-new-york-knicks-jelcwC7c/
14/Jan,New York Knicks,118,123,New Orleans Pelicans,usa/nba-2017-2018/new-york-knicks-new-orleans-pelicans-tW1yMAxN/
12/Jan,Minnesota Timberwolves,118,108,New York Knicks,usa/nba-2017-2018/minnesota-timberwolves-new-york-knicks-CzMdADwB/
07/Jan,Dallas Mavericks,96,100,New York Knicks,usa/nba-2017-2018/dallas-mavericks-new-york-knicks-IBqS6JFL/
03/Jan,Washington Wizards,121,103,New York Knicks,usa/nba-2017-2018/washington-wizards-new-york-knicks-2TSRCisJ/
02/Jan,New York Knicks,91,100,San Antonio Spurs,usa/nba-2017-2018/new-york-knicks-san-antonio-spurs-YmyBGZsf/
30/Dec,New Orleans Pelicans,103,105,New York Knicks,usa/nba-2017-2018/new-orleans-pelicans-new-york-knicks-Icnfkcqe/
28/Dec,San Antonio Spurs,119,107,New York Knicks,usa/nba-2017-2018/san-antonio-spurs-new-york-knicks-hzcGw0pq/
25/Dec,New York Knicks,98,105,Philadelphia 76ers,usa/nba-2017-2018/new-york-knicks-philadelphia-76ers-jsByASH1/
22/Dec,Detroit Pistons,104,101,New York Knicks,usa/nba-2017-2018/detroit-pistons-new-york-knicks-xlvHKQM6/
16/Dec,New York Knicks,111,96,Oklahoma City Thunder,usa/nba-2017-2018/new-york-knicks-oklahoma-city-thunder-Qi9tsKYp/
